name,software,description,label
file,aerospike,Specifies the path of the server log file for logging. ,environment
context,aerospike,Specifies the context and level of logging to be logged.,debuggability
cache-enabled,aerospike,"Whether to enable caching of Lua states for each registered Lua module, to benefit performance.",performance
user-path,aerospike,Directory to be used by the Aerospike process to store user generated UDF files,environment
allow-nonxdr-writes,aerospike,Parameter to control the writes done by a non-XDR client. Setting it to false will disallow all the writes from a nonXDR client (any regular client library). ,security
allow-xdr-writes,aerospike,Parameter to control whether to accept write transactions originating from an XDR client.,security
cold-start-evict-ttl,aerospike,This sets the TTL below which records will be evicted (will not be loaded) during coldstart. ,reliability
data-in-index,aerospike,"Optimization in single bin case, will only allow integer or float stored in index space. ",performance
default-ttl,aerospike,Default time-to-live (in seconds) for a record from the time of creation or last update. ,reliability
disable-nsup,aerospike,"If true , disables NSUP primary index reductions for this namespace only. ",performance
disable-write-dup-res,aerospike,Disables write duplicate resolution for the namespace. ,performance
enable-benchmarks-batch-sub,aerospike,Enable histograms for batch sub transactions.,debuggability
enable-benchmarks-fabric,aerospike,Enable histograms for fabric. ,debuggability
enable-benchmarks-read,aerospike,Enable histograms for read transactions. ,debuggability
enable-benchmarks-storage,aerospike,Enable histograms for storage access.,debuggability
enable-benchmarks-svc,aerospike,Enable histograms for demarshal and transaction queue related operations. ,debuggability
enable-benchmarks-udf,aerospike,Enable histograms for udf transactions.,debuggability
enable-benchmarks-udf-sub,aerospike,Enable histograms for udf sub transactions. ,debuggability
enable-benchmarks-write,aerospike,Enable histograms for write transactions.,debuggability
enable-hist-info,aerospike,Enable histograms for info protocol transactions.,debuggability
enable-hist-proxy,aerospike,Enable histograms for proxy transactions. ,debuggability
enable-xdr,aerospike,"This controls, at the namespace level, whether digest log entries are being written to the digest log.",debuggability
evict-hist-buckets,aerospike,Number of histogram buckets used for evictions. ,performance
evict-tenths-pct,aerospike,Maximum 1/10th percentage of objects to be deleted during each iteration of eviction.,reliability
high-water-disk-pct,aerospike,Data will be evicted if the disk utilization is greater than this specified percentage.,reliability
high-water-memory-pct,aerospike,Data will be evicted if the memory utilization is greater than this specified percentage.,reliability
max-ttl,aerospike,Maximum TTL allowed in the server. ,reliability
memory-size,aerospike,Maximum amount of memory for the namespace. ,reliability
migrate-order,aerospike,Number between 1 and 10 which determines the order namespaces are to be processed when migrating,manageability
migrate-retransmit-ms,aerospike,"How long to wait for success, in milliseconds, before retrying a migration related transaction. ",reliability
migrate-sleep,aerospike,Number of microseconds to sleep after each record migration. ,reliability
ns-forward-xdr-writes,aerospike,This parameter provides fine grained control at namespace level to forward writes that originated from another XDR to the specified destination datacenters (in xdr section). ,security
partition-tree-sprigs,aerospike,Number of tree sprigs to use.  Providing more trees (sprigs) reduces the number of levels and speeds up the search.,performance
prefer-uniform-balance,aerospike,"If true, this namespace will make an effort to distribute partitions evenly to all nodes. ",performance
read-consistency-level-override,aerospike,"When set to a non-default value, overrides the client-specified per-transaction read consistency level for this namespace. ",reliability
replication-factor,aerospike,Number of copies of a record (including the master copy) maintained in the entire cluster.,reliability
sets-enable-xdr,aerospike,Specifies whether XDR should ship all sets in a namespace or not.,reliability
single-bin,aerospike,Setting it true will disallow multiple bin (columns) for a record.,manageability
stop-writes-pct,aerospike,"Disallow writes (except deletes, replica writes and migration writes) when memory utilization (tracked under memory_used_bytes ) is above this specified percentage.",security
strong-consistency,aerospike,Set the namespace to Strong Consistency mode to favor consistency over availability. ,reliability
strong-consistency-allow-expunge,aerospike,"When set to true , allows non-durable deletes to be used with strong-consistency .",reliability
tomb-raider-eligible-age,aerospike,Number of seconds to retain a tombstone,reliability
tomb-raider-period,aerospike,"Minimum amount of time, in seconds, between tomb-raider runs. ",reliability
transaction-pending-limit,aerospike,Maximum pending transactions that can be queued up to work on the same key.,reliability
