name,software,description,label
cluster_name,cassandra,The name of the cluster. This is mainly used to prevent machines in one logical cluster from joining another.,others
num_tokens,cassandra,"This defines the number of tokens randomly assigned to this node on the ring The more tokens, relative to other nodes, the larger the proportion of data that this node will store. ",performance
allocate_tokens_for_keyspace,cassandra,Triggers automatic allocation of num_tokens tokens for this node. The allocation algorithm attempts to choose tokens in a way that optimizes replicated load over the nodes in the datacenter for the replication strategy used by the specified keyspace.,performance
initial_token,cassandra,"initial_token allows you to specify tokens manually. While you can use it with vnodes (num_tokens > 1, above) in which case you should provide a comma-separated list it��s primarily used when adding nodes to legacy clusters that do not have vnodes enabled.",manageability
hinted_handoff_enabled,cassandra,"If a write is made and a replica node for the key is down (and hinted_handoff_enabled == true), Cassandra will write a hint.",reliability
hinted_handoff_disabled_datacenters,cassandra,"When hinted_handoff_enabled is true, a black list of data centers that will not perform hinted handoff",reliability
max_hint_window_in_ms,cassandra,"this defines the maximum amount of time a dead host will have hints generated. After it has been dead this long, new hints for it will not be created until it has been seen alive and gone down again.",reliability
hinted_handoff_throttle_in_kb,cassandra,"Maximum throttle in KBs per second, per delivery thread. This will be reduced proportionally to the number of nodes in the cluster. ",performance
max_hints_delivery_threads,cassandra,"Number of threads with which to deliver hints; Consider increasing this number when you have multi-dc deployments, since cross-dc handoff tends to be slower",performance
hints_directory,cassandra,"Directory where Cassandra should store hints. If not set, the default directory is $CASSANDRA_HOME/data/hints.",environment
hints_flush_period_in_ms,cassandra,How often hints should be flushed from the internal buffers to disk. Will not trigger fsync.,reliability
max_hints_file_size_in_mb,cassandra,"Maximum size for a single hints file, in megabytes.",performance
hints_compression,cassandra,"Compression to apply to the hint files. If omitted, hints files will be written uncompressed. LZ4, Snappy, and Deflate compressors are supported.",performance
batchlog_replay_throttle_in_kb,cassandra,"Maximum throttle in KBs per second, total. This will be reduced proportionally to the number of nodes in the cluster.",performance
authenticator,cassandra,"Authentication backend, implementing IAuthenticator; used to identify users Out of the box, Cassandra provides org.apache.cassandra.auth.{AllowAllAuthenticator, PasswordAuthenticator}.",security
authorizer,cassandra,"Authorization backend, implementing IAuthorizer; used to limit access/provide permissions Out of the box, Cassandra provides org.apache.cassandra.auth.{AllowAllAuthorizer, CassandraAuthorizer}.",security
role_manager,cassandra,"Part of the Authentication & Authorization backend, implementing IRoleManager; used to maintain grants and memberships between roles. ",security
roles_validity_in_ms,cassandra,"Validity period for roles cache (fetching granted roles can be an expensive operation depending on the role manager, CassandraRoleManager is one example) Granted roles are cached for authenticated sessions in AuthenticatedUser and after the period specified here, become eligible for (async) reload.",security
roles_update_interval_in_ms,cassandra,"Refresh interval for roles cache (if enabled). After this interval, cache entries become eligible for refresh. Upon next access, an async reload is scheduled and the old value returned until it completes. ",reliability
permissions_validity_in_ms,cassandra,"Validity period for permissions cache (fetching permissions can be an expensive operation depending on the authorizer, CassandraAuthorizer is one example).",performance
permissions_update_interval_in_ms,cassandra,"Refresh interval for permissions cache (if enabled). After this interval, cache entries become eligible for refresh.",reliability
credentials_validity_in_ms,cassandra,"Please note, credentials are cached in their encrypted form, so while activating this cache may reduce the number of queries made to the underlying table, it may not bring a significant reduction in the latency of individual authentication attempts.",security
credentials_update_interval_in_ms,cassandra,"Refresh interval for credentials cache (if enabled). After this interval, cache entries become eligible for refresh. ",reliability
partitioner,cassandra,The partitioner is responsible for distributing groups of rows (by partition key) across nodes in the cluster. You should leave this alone for new clusters. ,manageability
data_file_directories,cassandra,Directories where Cassandra should store data on disk.,environment
commitlog_directory,cassandra,"commit log. when running on magnetic HDD, this should be a separate spindle than the data directories.",environment
cdc_enabled,cassandra,Enable / disable CDC functionality on a per-node basis.,reliability
cdc_raw_directory,cassandra,CommitLogSegments are moved to this directory on flush if cdc_enabled: true and the segment contains mutations for a CDC-enabled table.,environment
disk_failure_policy,cassandra,Policy for data disk failures,reliability
commit_failure_policy,cassandra,Policy for commit disk failures,reliability
prepared_statements_cache_size_mb,cassandra,Maximum size of the native protocol prepared statement cache,performance
key_cache_size_in_mb,cassandra,"The key cache is fairly tiny for the amount of time it saves, so it��s worthwhile to use it at large numbers. The row cache saves even more time, but must contain the entire row, so it is extremely space-intensive. ",performance
key_cache_save_period,cassandra,"Saved caches greatly improve cold-start speeds, and is relatively cheap in terms of I/O for the key cache. Row cache saving is much more expensive and has limited use.",performance
key_cache_keys_to_save,cassandra,"Number of keys from the key cache to save Disabled by default, meaning all keys are going to be saved",performance
row_cache_class_name,cassandra,Row cache implementation class name.,performance
row_cache_size_in_mb,cassandra,Maximum size of the row cache in memory. ,performance
row_cache_save_period,cassandra,"Duration in seconds after which Cassandra should save the row cache.  Saved caches greatly improve cold-start speeds, and is relatively cheap in terms of I/O for the key cache. Row cache saving is much more expensive and has limited use.",performance
row_cache_keys_to_save,cassandra,"Number of keys from the row cache to save. Specify 0 (which is the default), meaning all keys are going to be saved",performance
counter_cache_size_in_mb,cassandra,Maximum size of the counter cache in memory.,performance
counter_cache_save_period,cassandra,Duration in seconds after which Cassandra should save the counter cache (keys only). Caches are saved to saved_caches_directory as specified in this configuration file.,performance
counter_cache_keys_to_save,cassandra,"Number of keys from the counter cache to save Disabled by default, meaning all keys are going to be saved",performance
saved_caches_directory,cassandra,"saved caches If not set, the default directory is $CASSANDRA_HOME/data/saved_caches.",environment
commitlog_sync,cassandra,This window should be kept short because the writer threads will be unable to do extra work while waiting.,debuggability
