name,value,description,label,software
hadoop.tmp.dir,/tmp/hadoop-${user.name},A base for other temporary directories.,environment,core
hadoop.security.authorization,FALSE,Is service-level authorization enabled?,security,core
hadoop.security.instrumentation.requires.admin,FALSE,"Indicates if administrator ACLs are required to access instrumentation servlets (JMX, METRICS, CONF, STACKS).",security,core
hadoop.security.authentication,simple,"Possible values are simple (no authentication), and kerberos",security,core
hadoop.security.group.mapping,org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback,"Class for user to group mapping (get groups for a given user) for ACL. The default implementation, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, will determine if the Java Native Interface (JNI) is available. If JNI is available the implementation will use the API within hadoop to resolve a list of groups for a user. If JNI is not available then the shell implementation, ShellBasedUnixGroupsMapping, is used. This implementation shells out to the Linux/Unix environment with the bash -c groups command to resolve a list of groups for a user.",security,core
hadoop.security.dns.nameserver,,The host name or IP address of the name server (DNS) which a service Node should use to determine its own host name for Kerberos Login. Requires hadoop.security.dns.interface. Most clusters will not require this setting.,environment,core
hadoop.security.groups.cache.secs,300,"This is the config controlling the validity of the entries in the cache containing the user->group mapping. When this duration has expired, then the implementation of the group mapping provider is invoked to get the groups of the user and then cached back.",security,core
hadoop.security.groups.cache.warn.after.ms,5000,"If looking up a single user to group takes longer than this amount of milliseconds, we will log a warning message.",reliability,core
hadoop.security.groups.cache.background.reload,FALSE,"Whether to reload expired user->group mappings using a background thread pool. If set to true, a pool of hadoop.security.groups.cache.background.reload.threads is created to update the cache in the background.",security,core
hadoop.security.groups.cache.background.reload.threads,3,Only relevant if hadoop.security.groups.cache.background.reload is true. Controls the number of concurrent background user->group cache entry refreshes. Pending refresh requests beyond this value are queued and processed when a thread is free.,performance,core
hadoop.security.groups.shell.command.timeout,0s,"Used by the ShellBasedUnixGroupsMapping class, this property controls how long to wait for the underlying shell command that is run to fetch groups. Expressed in seconds (e.g. 10s, 1m, etc.), if the running command takes longer than the value configured, the command is aborted and the groups resolver would return a result of no groups found. A value of 0s (default) would mean an infinite wait (i.e. wait until the command exits on its own).",reliability,core
hadoop.security.group.mapping.ldap.connection.timeout.ms,60000,"This property is the connection timeout (in milliseconds) for LDAP operations. If the LDAP provider doesn't establish a connection within the specified period, it will abort the connect attempt. Non-positive value means no LDAP connection timeout is specified in which case it waits for the connection to establish until the underlying network times out.",reliability,core
hadoop.security.group.mapping.ldap.read.timeout.ms,60000,"This property is the read timeout (in milliseconds) for LDAP operations. If the LDAP provider doesn't get a LDAP response within the specified period, it will abort the read attempt. Non-positive value means no read timeout is specified in which case it waits for the response infinitely.",reliability,core
hadoop.security.group.mapping.ldap.ssl,FALSE,Whether or not to use SSL when connecting to the LDAP server.,security,core
hadoop.security.group.mapping.ldap.ssl.keystore,,File path to the SSL keystore that contains the SSL certificate required by the LDAP server.,environment,core
hadoop.security.group.mapping.ldap.ssl.keystore.password.file,,"The path to a file containing the password of the LDAP SSL keystore. If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.ssl.keystore.password is not set, LDAPGroupsMapping reads password from the file. IMPORTANT: This file should be readable only by the Unix user running the daemons and should be a local file.",security,core
hadoop.security.group.mapping.ldap.ssl.keystore.password,,The password of the LDAP SSL keystore. this property name is used as an alias to get the password from credential providers. If the password can not be found and hadoop.security.credential.clear-text-fallback is true LDAPGroupsMapping uses the value of this property for password.,security,core
hadoop.security.credential.clear-text-fallback,TRUE,true or false to indicate whether or not to fall back to storing credential password as clear text. The default value is true. This property only works when the password can't not be found from credential providers.,security,core
hadoop.security.credential.provider.path,,A comma-separated list of URLs that indicates the type and location of a list of providers that should be consulted.,security,core
