name,software,description,label,
hadoop.hdfs.configuration.version,hdfs,version of this configuration file,others,
dfs.namenode.rpc-address,hdfs,"RPC address that handles all clients requests. In the case of HA/Federation where multiple namenodes exist, the name service id is added to the name e.g. dfs.namenode.rpc-address.ns1 dfs.namenode.rpc-address.EXAMPLENAMESERVICE The value of this property will take the form of nn-host1:rpc-port.",environment,
dfs.namenode.rpc-bind-host,hdfs,"The actual address the RPC server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.namenode.rpc-address. It can also be specified per name node or name service for HA/Federation. This is useful for making the name node listen on all interfaces by setting it to 0.0.0.0.",environment,
dfs.namenode.servicerpc-address,hdfs,"RPC address for HDFS Services communication. BackupNode, Datanodes and all other services should be connecting to this address if it is configured. In the case of HA/Federation where multiple namenodes exist, the name service id is added to the name e.g. dfs.namenode.servicerpc-address.ns1 dfs.namenode.rpc-address.EXAMPLENAMESERVICE The value of this property will take the form of nn-host1:rpc-port. If the value of this property is unset the value of dfs.namenode.rpc-address will be used as the default.",environment,
dfs.namenode.servicerpc-bind-host,hdfs,"The actual address the service RPC server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.namenode.servicerpc-address. It can also be specified per name node or name service for HA/Federation. This is useful for making the name node listen on all interfaces by setting it to 0.0.0.0.",environment,
dfs.namenode.lifeline.rpc-address,hdfs,"NameNode RPC lifeline address. This is an optional separate RPC address that can be used to isolate health checks and liveness to protect against resource exhaustion in the main RPC handler pool. In the case of HA/Federation where multiple NameNodes exist, the name service ID is added to the name e.g. dfs.namenode.lifeline.rpc-address.ns1. The value of this property will take the form of nn-host1:rpc-port. If this property is not defined, then the NameNode will not start a lifeline RPC server. By default, the property is not defined.",environment,
dfs.namenode.lifeline.rpc-bind-host,hdfs,"The actual address the lifeline RPC server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.namenode.lifeline.rpc-address. It can also be specified per name node or name service for HA/Federation. This is useful for making the name node listen on all interfaces by setting it to 0.0.0.0.",environment,
dfs.namenode.secondary.http-address,hdfs,The secondary namenode http server address and port.,environment,
dfs.namenode.secondary.https-address,hdfs,The secondary namenode HTTPS server address and port.,environment,
dfs.datanode.address,hdfs,The datanode server address and port for data transfer.,environment,
dfs.datanode.http.address,hdfs,The datanode http server address and port.,environment,
dfs.datanode.ipc.address,hdfs,The datanode ipc server address and port.,environment,
dfs.datanode.http.internal-proxy.port,hdfs,The datanode's internal web proxy port. By default it selects a random port available in runtime.,environment,
dfs.datanode.handler.count,hdfs,The number of server threads for the datanode.,performance,
dfs.namenode.http-address,hdfs,The address and the base port where the dfs namenode web ui will listen on.,environment,
