software,name,default,description,label
httpd,AcceptFilter,,Configures optimizations for a Protocol's Listener Sockets,performance
httpd,AcceptPathInfo,Default,Resources accept trailing pathname information,others
httpd,AccessFileName,.htaccess,Name of the distributed configuration file,environment
httpd,AddAlt,,"Alternate text to display for a file, instead of an icon selected by filename",others
httpd,AddAltByEncoding,,Alternate text to display for a file instead of an icon selected by MIME-encoding,others
httpd,AddAltByType,,"Alternate text to display for a file, instead of an icon selected by MIME content-type",others
httpd,AddCharset,,Maps the given filename extensions to the specified content charset,manageability
httpd,AddDefaultCharset,Off,Default charset parameter to be added when a response content-type is text/plain or text/html,environment
httpd,AddDescription,,Description to display for a file,others
httpd,AddOutputFilterByType,,assigns an output filter to a particular media-type,manageability
httpd,AddType,,Maps the given filename extensions onto the specified content type,manageability
httpd,Alias,,Maps URLs to filesystem locations,manageability
httpd,AliasMatch,,Maps URLs to filesystem locations using regular expressions,manageability
httpd,AllowCONNECT,443 563,Ports that are allowed to CONNECT through the proxy,environment
httpd,AllowEncodedSlashes,Off,Determines whether encoded path separators in URLs are allowed to be passed through,security
httpd,AsyncRequestWorkerFactor,,Limit concurrent connections per process,reliability
httpd,AuthDigestShmemSize,1000,The amount of shared memory to allocate for keeping track of clients,reliability
httpd,AuthLDAPCharsetConfig,,Language to charset conversion configuration file,environment
httpd,AuthnCacheEnable,,Enable Authn caching configured anywhere,manageability
httpd,AuthnCacheSOCache,,Select socache backend provider to use,performance
httpd,AuthnzFcgiDefineProvider,,Defines a FastCGI application as a provider for authentication and/or authorization,security
httpd,BalancerGrowth,5,Number of additional Balancers that can be added Post-configuration,performance
httpd,BalancerInherit,On,Inherit ProxyPassed Balancers/Workers from the main server,manageability
httpd,BalancerPersist,Off,Attempt to persist changes made by the Balancer Manager across restarts.,manageability
httpd,BrotliCompressionMaxInputBlock,,Maximum input block size,performance
httpd,BrotliCompressionWindow,18,Brotli sliding compression window size,performance
httpd,BrotliFilterNote,,Places the compression ratio in a note for logging,debuggability
httpd,BufferedLogs,Off,Buffer log entries in memory before writing to disk,debuggability
httpd,BufferSize,131072,Maximum size in bytes to buffer by the buffer filter,performance
httpd,CacheDefaultExpire,3600 (one hour),The default duration to cache a document when no expiry date is specified.,performance
httpd,CacheDetailHeader,off,Add an X-Cache-Detail header to the response.,manageability
httpd,CacheDirLength,2,The number of characters in subdirectory names,manageability
httpd,CacheDirLevels,2,The number of levels of subdirectories in the cache.,performance
httpd,CacheDisable,,Disable caching of specified URLs,performance
httpd,CacheEnable,,Enable caching of specified URLs using a specified storage manager,performance
httpd,CacheFile,,Cache a list of file handles at startup time,performance
httpd,CacheHeader,off,Add an X-Cache header to the response.,manageability
httpd,CacheIgnoreCacheControl,Off,Ignore request to not serve cached content to client,manageability
httpd,CacheIgnoreHeaders,None,Do not store the given HTTP header(s) in the cache.,manageability
httpd,CacheIgnoreNoLastMod,Off,Ignore the fact that a response has no Last Modified header.,manageability
httpd,CacheIgnoreQueryString,Off,Ignore query string when caching,performance
httpd,CacheIgnoreURLSessionIdentifiers,None,Ignore defined session identifiers encoded in the URL when caching,performance
httpd,CacheKeyBaseURL,,Override the base URL of reverse proxied cache keys.,environment
httpd,CacheLastModifiedFactor,0.1,The factor used to compute an expiry date based on the LastModified date.,others
httpd,CacheLock,off,Enable the thundering herd lock.,reliability
httpd,CacheLockMaxAge,5,Set the maximum possible age of a cache lock.,security
httpd,CacheLockPath,/tmp/mod_cache-lock +,Set the lock path directory.,environment
httpd,CacheMaxExpire,86400 (one day),The maximum time in seconds to cache a document,performance
httpd,CacheMaxFileSize,1000000,The maximum size (in bytes) of a document to be placed in the cache,performance
httpd,CacheMinExpire,0,The minimum time in seconds to cache a document,performance
httpd,CacheMinFileSize,1,The minimum size (in bytes) of a document to be placed in the cache,performance
httpd,CacheNegotiatedDocs,Off,Allows content-negotiated documents to be cached by proxy servers,performance
httpd,CacheQuickHandler,on,Run the cache from the quick handler.,performance
httpd,CacheReadSize,0,The minimum size (in bytes) of the document to read and be cached before sending the data downstream,performance
httpd,CacheReadTime,0,The minimum time (in milliseconds) that should elapse while reading before data is sent downstream,reliability
httpd,CacheRoot,,The directory root under which cache files are stored,environment
httpd,CacheSocacheMaxSize,102400,The maximum size (in bytes) of an entry to be placed in the cache,performance
httpd,CacheSocacheReadSize,0,The minimum size (in bytes) of the document to read and be cached before sending the data downstream,performance
httpd,CacheSocacheReadTime,0,The minimum time (in milliseconds) that should elapse while reading before data is sent downstream,performance
httpd,CacheStaleOnError,on,Serve stale content in place of 5xx responses.,reliability
httpd,CacheStoreExpired,Off,Attempt to cache responses that the server reports as expired,manageability
httpd,CacheStoreNoStore,Off,Attempt to cache requests or responses that have been marked as no-store.,manageability
httpd,CacheStorePrivate,Off,Attempt to cache responses that the server has marked as private,manageability
httpd,CGIDScriptTimeout,,The length of time to wait for more output from the CGI program,reliability
httpd,CharsetDefault,,Charset to translate into,environment
httpd,CharsetOptions,ImplicitAdd,Configures charset translation behavior,manageability
httpd,CharsetSourceEnc,,Source charset of files,environment
httpd,CheckCaseOnly,Off,Limits the action of the speling module to case corrections,manageability
httpd,ContentDigest,Off,Enables the generation of Content-MD5 HTTP Response headers,manageability
httpd,CookieExpires,,Expiry time for the tracking cookie,performance
httpd,CookieName,Apache,Name of the tracking cookie,others
httpd,CookieStyle,Netscape,Format of the cookie header field,manageability
httpd,DavGenericLockDB,,Location of the DAV lock database,environment
httpd,DavLockDB,,Location of the DAV lock database,environment
httpd,DavMinTimeout,0,Minimum amount of time the server holds a lock on a DAV resource,reliability
httpd,DBDExptime,300,Keepalive time for idle connections,reliability
httpd,DBDInitSQL,,Execute an SQL statement after connecting to a database,environment
httpd,DBDKeep,2,Maximum sustained number of connections,reliability
httpd,DBDMax,10,Maximum number of connections,reliability
httpd,DBDMin,1,Minimum number of connections,reliability
httpd,DBDParams,,Parameters for database connection,others
httpd,DBDPersist,,Whether to use persistent connections,reliability
httpd,DBDPrepareSQL,,Define an SQL prepared statement,environment
httpd,DBDriver,,Specify an SQL driver,environment
httpd,DefaultRuntimeDir,DEFAULT_REL_RUNTIME +,Base directory for the server run-time files,environment
httpd,DeflateBufferSize,8096,Fragment size to be compressed at one time by zlib,performance
httpd,DeflateCompressionLevel,,How much compression do we apply to the output,manageability
httpd,DeflateFilterNote,,Places the compression ratio in a note for logging,debuggability
httpd,DeflateInflateLimitRequestBody,,Maximum size of inflated request bodies,reliability
httpd,DeflateMemLevel,9,How much memory should be used by zlib for compression,performance
httpd,DeflateWindowSize,15,Zlib compression window size,performance
httpd,DirectoryCheckHandler,Off,Toggle how this module responds when another handler is configured,manageability
httpd,DocumentRoot,"""/usr/local/apache/ +",Directory that forms the main document tree visible from the web,environment
httpd,DumpIOInput,Off,Dump all input data to the error log,debuggability
httpd,DumpIOOutput,Off,Dump all output data to the error log,debuggability
httpd,EnableMMAP,On,Use memory-mapping to read files during delivery,performance
httpd,EnableSendfile,Off,Use the kernel sendfile support to deliver files to the client,manageability
httpd,Error,,Abort configuration parsing with a custom error message,debuggability
httpd,ErrorDocument,,What the server will return to the client in case of an error,debuggability
httpd,ErrorLog,logs/error_log (Uni +,Location where the server will log errors,debuggability
httpd,ErrorLogFormat,,Format specification for error log entries,debuggability
httpd,Example,,Demonstration directive to illustrate the Apache module API,environment
httpd,ExpiresActive,Off,Enables generation of Expires headers,manageability
httpd,ExpiresDefault,,Default algorithm for calculating expiration time,performance
httpd,ExtendedStatus,Off[*],Keep track of extended status information for each request,debuggability
httpd,ExtFilterDefine,,Define an external filter,security
httpd,FilterProtocol,,Deal with correct HTTP protocol handling,manageability
httpd,FilterTrace,,Get debug/diagnostic information from mod_filter,debuggability
httpd,GprofDir,,Directory to write gmon.out profiling data to.,environment
httpd,GracefulShutdownTimeout,0,Specify a timeout after which a gracefully shutdown server will exit.,reliability
httpd,H2EarlyHints,off,Determine sending of 103 status codes,manageability
httpd,H2MaxSessionStreams,100,Maximum number of active streams per HTTP/2 session.,performance
httpd,H2MaxWorkerIdleSeconds,600,Maximum number of seconds h2 workers remain idle until shut down.,reliability
httpd,H2MaxWorkers,,Maximum number of worker threads to use per child process.,performance
httpd,H2MinWorkers,,Minimal number of worker threads to use per child process.,performance
