name,default,description,label,software
CephBroker.MonAddr,,Ceph monitor address to connect to,environment,hypertable
CephBroker.Port,,Port number on which to listen (read by CephBroker only),environment,hypertable
CephBroker.Workers,20,"Number of Ceph broker worker threads created, maybe",performance,hypertable
Comm.DispatchDelay,0,[TESTING ONLY] Delay dispatching of read requests by this number of milliseconds,others,hypertable
Comm.UsePoll,FALSE,Use poll() interface,manageability,hypertable
FsBroker.DisableFileRemoval,FALSE,Rename files with .deleted extension instead of removing (for testing),others,hypertable
FsBroker.Hdfs.NameNode.Host,default,"Name of host on which HDFS NameNode is running (NOTE: this property is deprecated, useHdfsBroker.Hadoop.ConfDir instead)",environment,hypertable
FsBroker.Hdfs.NameNode.Port,0,"Port number on which HDFS NameNode is running(NOTE: this property is deprecated, use HdfsBroker.Hadoop.ConfDir instead)",environment,hypertable
FsBroker.Host,localhost,Host on which the FS broker is running (read by clients only),environment,hypertable
FsBroker.Local.DirectIO,FALSE,Read and write files using direct i/o,manageability,hypertable
FsBroker.Local.Port,15863,Port number on which to listen (read by LocalBroker only),environment,hypertable
FsBroker.Local.Reactors,,Number of local broker communication reactor threads created,performance,hypertable
FsBroker.Local.Root,,"Root of file and directory hierarchy for local broker (if relative path, then is relative to the Hypertable data directory root)",environment,hypertable
FsBroker.Local.Workers,20,Number of local broker worker threads created,performance,hypertable
FsBroker.Port,15863,Port number on which FS broker is listening (read by clients only),environment,hypertable
FsBroker.Timeout,,"Length of time, in milliseconds, to wait before timing out FS Broker requests. This takes precedence over Hypertable.Request.Timeout",reliability,hypertable
HdfsBroker.Hadoop.ConfDir,,Hadoop configuration directory (e.g. /etc/hadoop/conf or /usr/lib/hadoop/conf),environment,hypertable
HdfsBroker.Port,,Port number on which to listen (read by HdfsBroker only),environment,hypertable
HdfsBroker.Reactors,,Number of HDFS broker communication reactor threads created,performance,hypertable
HdfsBroker.SyncBlock,TRUE,Pass SYNC_BLOCK flag to Filesystem.create() when creating files,others,hypertable
HdfsBroker.Workers,,Number of HDFS broker worker threads created,performance,hypertable
HdfsBroker.fs.default.name,,"Hadoop Filesystem default name, same as fs.default.name property in Hadoop config (e.g. hdfs://localhost:9000)(NOTE: this property is deprecated, use HdfsBroker.Hadoop.ConfDir instead)",others,hypertable
Hyperspace.Checkpoint.Size,1000000,Run BerkeleyDB checkpoint when logs exceed this size limit,reliability,hypertable
Hyperspace.Client.Datagram.SendPort,0,Client UDP send port for keepalive packets,environment,hypertable
Hyperspace.GracePeriod,60000,Hyperspace Grace period (see Chubby paper),reliability,hypertable
Hyperspace.KeepAlive.Interval,10000,Hyperspace Keepalive interval (see Chubby paper),reliability,hypertable
Hyperspace.Lease.Interval,60000,Hyperspace Lease interval (see Chubby paper),reliability,hypertable
Hyperspace.LogGc.Interval,60000,Check for unused BerkeleyDB log files after this much time,reliability,hypertable
Hyperspace.LogGc.MaxUnusedLogs,200,Number of unused BerkeleyDB to keep around in case of lagging replicas,reliability,hypertable
Hyperspace.Maintenance.Interval,60000,"Hyperspace maintenance interval (checkpoint BerkeleyDB, log cleanup etc)",reliability,hypertable
Hyperspace.Replica.Dir,,"Root of hyperspace file and directory heirarchy in local filesystem (if relative path, then is relative to the Hypertable data directory root)",environment,hypertable
Hyperspace.Replica.Host,,Hostname of Hyperspace replica,environment,hypertable
Hyperspace.Replica.Port,15861,Port number on which Hyperspace is or should be listening for requests,environment,hypertable
