name,default,description,label,software
run_external_periodic_tasks,TRUE,Some periodic tasks can be run in a separate process. Should we run them here?,manageability,ironic
backdoor_port,<None>,"Enable eventlet backdoor.  Acceptable values are 0, <port>, and <start>:<end>, where 0 results in listening on a random tcp port number; <port> results in listening on the specified port  number (and not enabling backdoor if that port is in use); and  <start>:<end> results in listening on the smallest unused  port number within the specified range of port numbers.  The chosen port is displayed in the service's log file.",environment,ironic
backdoor_socket,<None>,"Enable eventlet backdoor, using the provided path as a unix socket  that can receive connections. This option is mutually exclusive with  'backdoor_port' in that only one should be provided. If both are  provided then the existence of this option overrides the usage of that  option.",environment,ironic
log_options,TRUE,Enables or disables logging values of all registered options when starting a service (at DEBUG level).,debuggability,ironic
graceful_shutdown_timeout,60,Specify a timeout after which a gracefully shutdown server will exit. Zero value means endless wait.,reliability,ironic
rpc_conn_pool_size,30,Size of RPC connection pool.,performance,ironic
conn_pool_min_size,2,The pool size limit for connections expiration policy,performance,ironic
conn_pool_ttl,1200,The time-to-live in sec of idle connections in the pool,reliability,ironic
executor_thread_pool_size,64,Size of executor thread pool when executor is threading or eventlet.,performance,ironic
rpc_response_timeout,60,Seconds to wait for a response from a call.,reliability,ironic
transport_url,rabbit://,"The network address and optional user credentials for connecting to  the messaging backend, in URL format. The expected format is:",environment,ironic
control_exchange,openstack,The default exchange under which topics are scoped. May be overridden by an exchange name specified in the transport_url option.,manageability,ironic
debug,FALSE,"If set to true, the logging level will be set to DEBUG instead of the default INFO level.",debuggability,ironic
log_config_append,<None>,"The name of a logging configuration file. This file is appended to  any existing logging configuration files. For details about logging  configuration files, see the Python logging module documentation. Note  that when logging configuration files are used then all logging  configuration is set in the configuration file and other logging  configuration options are ignored (for example, log-date-format).",debuggability,ironic
log_date_format,%Y-%m-%d %H:%M:%S,Defines the format string for %(asctime)s in log records. Default:  the value above . This option is ignored if log_config_append is set.,debuggability,ironic
log_file,<None>,"(Optional) Name of log file to send logging output to. If no default  is set, logging will go to stderr as defined by use_stderr. This option  is ignored if log_config_append is set.",debuggability,ironic
log_dir,<None>,(Optional) The base directory used for relative log_file  paths. This option is ignored if log_config_append is set.,environment,ironic
watch_log_file,FALSE,Uses logging handler designed to watch file system. When log file is  moved or removed this handler will open a new log file with specified  path instantaneously. It makes sense only if log_file option is  specified and Linux platform is used. This option is ignored if  log_config_append is set.,debuggability,ironic
use_syslog,FALSE,Use syslog for logging. Existing syslog format is DEPRECATED and will be changed later to honor RFC5424. This option is ignored if  log_config_append is set.,debuggability,ironic
use_journal,FALSE,Enable journald for logging. If running in a systemd environment you  may wish to enable journal support. Doing so will use the journal native protocol which includes structured metadata in addition to log  messages.This option is ignored if log_config_append is set.,debuggability,ironic
syslog_log_facility,LOG_USER,Syslog facility to receive log lines. This option is ignored if log_config_append is set.,debuggability,ironic
use_json,FALSE,Use JSON formatting for logging. This option is ignored if log_config_append is set.,debuggability,ironic
use_stderr,FALSE,Log output to standard error. This option is ignored if log_config_append is set.,debuggability,ironic
use_eventlog,FALSE,Log output to Windows Event Log.,debuggability,ironic
log_rotate_interval,1,The amount of time before the log files are rotated. This option is ignored unless log_rotation_type is setto 'interval'.,reliability,ironic
log_rotation_type,none,Log rotation type.,debuggability,ironic
logging_context_format_string,%(asctime)s.%(msecs)03d %(process)d %(levelname)s %(name)s [%(request_id)s %(user_identity)s] %(instance)s%(message)s,Format string to use for log messages with context. Used by oslo_log.formatters.ContextFormatter,debuggability,ironic
logging_default_format_string,%(asctime)s.%(msecs)03d %(process)d %(levelname)s %(name)s [-] %(instance)s%(message)s,Format string to use for log messages when context is undefined. Used by oslo_log.formatters.ContextFormatter,debuggability,ironic
logging_debug_format_suffix,%(funcName)s %(pathname)s:%(lineno)d,Additional data to append to log message when logging level for the  message is DEBUG. Used by oslo_log.formatters.ContextFormatter,debuggability,ironic
logging_exception_prefix,%(asctime)s.%(msecs)03d %(process)d ERROR %(name)s %(instance)s,Prefix each line of exception output with this format. Used by oslo_log.formatters.ContextFormatter,debuggability,ironic
logging_user_identity_format,%(user)s %(tenant)s %(domain)s %(user_domain)s %(project_domain)s,Defines the format string for %(user_identity)s that is used in  logging_context_format_string. Used by  oslo_log.formatters.ContextFormatter,debuggability,ironic
default_log_levels,"amqp=WARNING,amqplib=WARNING,qpid.messaging=INFO,oslo.messaging=INFO,sqlalchemy=WARNING,stevedore=INFO,eventlet.wsgi.server=INFO,iso8601=WARNING,requests=WARNING,neutronclient=WARNING,glanceclient=WARNING,urllib3.connectionpool=WARNING,keystonemiddleware.auth_token=INFO,keystoneauth.session=INFO",List of package logging levels in logger=LEVEL pairs. This option is ignored if log_config_append is set.,debuggability,ironic
publish_errors,FALSE,Enables or disables publication of error events.,debuggability,ironic
instance_format,"""[instance: %(uuid)s] """,The format for an instance that is passed with the log message.,manageability,ironic
instance_uuid_format,"""[instance: %(uuid)s] """,The format for an instance UUID that is passed with the log message.,manageability,ironic
rate_limit_interval,0,"Interval, number of seconds, of log rate limiting.",reliability,ironic
rate_limit_burst,0,Maximum number of logged messages per rate_limit_interval.,reliability,ironic
rate_limit_except_level,CRITICAL,"Log level name used by rate limiting: CRITICAL, ERROR, INFO, WARNING, DEBUG or empty string. Logs with level greater or equal to  rate_limit_except_level are not filtered. An empty string means that all levels are filtered.",debuggability,ironic
manage_agent_boot,TRUE,"Whether Ironic will manage booting of the agent ramdisk. If set to  False, you will need to configure your mechanism to allow booting the  agent ramdisk.",manageability,ironic
memory_consumed_by_agent,0,The memory size in MiB consumed by agent when it is booted on a bare  metal node. This is used for checking if the image can be downloaded and deployed on the bare metal node after booting agent ramdisk. This may  be set according to the memory consumed by the agent ramdisk image.,performance,ironic
stream_raw_images,TRUE,"Whether the agent ramdisk should stream raw images directly onto the  disk or not. By streaming raw images directly onto the disk the agent  ramdisk will not spend time copying the image to a tmpfs partition  (therefore consuming less memory) prior to writing it to the disk.  Unless the disk where the image will be copied to is really slow, this  option should be set to True. Defaults to True.",performance,ironic
post_deploy_get_power_state_retries,6,Number of times to retry getting power state to check if bare metal node has been powered off after a soft power off.,reliability,ironic
post_deploy_get_power_state_retry_interval,5,Amount of time (in seconds) to wait between polling power state after trigger soft poweroff.,reliability,ironic
agent_api_version,v1,API version to use for communicating with the ramdisk agent.,environment,ironic
deploy_logs_collect,on_failure,"Whether Ironic should collect the deployment logs on deployment failure (on_failure), always or never.",debuggability,ironic
deploy_logs_storage_backend,local,The name of the storage backend where the logs will be stored.,debuggability,ironic
deploy_logs_local_path,/var/log/ironic/deploy,"The path to the directory where the logs should be stored, used when the deploy_logs_storage_backend is configured to 'local'.",environment,ironic
deploy_logs_swift_container,ironic_deploy_logs_container,"The name of the Swift container to store the logs, used when the deploy_logs_storage_backend is configured to 'swift'.",debuggability,ironic
deploy_logs_swift_days_to_expire,30,"Number of days before a log object is marked as expired in Swift. If  None, the logs will be kept forever or until manually deleted. Used when the deploy_logs_storage_backend is configured to 'swift'.",debuggability,ironic
image_download_source,swift,Specifies whether direct deploy interface should try to use the image source directly or if ironic should cache the image on the conductor  and serve it from ironic's own http server. This option takes effect  only when instance image is provided from the Image service.,manageability,ironic
command_timeout,60,Timeout (in seconds) for IPA commands.,reliability,ironic
max_command_attempts,3,This is the maximum number of attempts that will be done for IPA commands that fails due to network problems.,reliability,ironic
neutron_agent_poll_interval,2,The number of seconds Neutron agent will wait between polling for  device changes. This value should be the same as  CONF.AGENT.polling_interval in Neutron configuration.,reliability,ironic
neutron_agent_max_attempts,100,Max number of attempts to validate a Neutron agent status before raising network error for a dead agent.,reliability,ironic
neutron_agent_status_retry_interval,10,Wait time in seconds between attempts for validating Neutron agent status.,reliability,ironic
ansible_extra_args,<None>,Extra arguments to pass on every invocation of Ansible.,others,ironic
verbosity,<None>,Set ansible verbosity level requested when invoking  'ansible-playbook' command. 4 includes detailed SSH session logging.  Default is 4 when global debug is enabled and 0 otherwise.,debuggability,ironic
ansible_playbook_script,ansible-playbook,Path to 'ansible-playbook' script. Default will search the $PATH  configured for user running ironic-conductor process. Provide the full  path when ansible-playbook is not in $PATH or installed in not default  location.,environment,ironic
playbooks_path,$pybasedir/drivers/modules/ansible/playbooks,"Path to directory with playbooks, roles and local inventory.",environment,ironic
config_file_path,$pybasedir/drivers/modules/ansible/playbooks/ansible.cfg,"Path to ansible configuration file. If set to empty, system default will be used.",environment,ironic
