name,default,description,label,software
rpc_conn_pool_size,30,Size of RPC connection pool.,performance,keystone
conn_pool_min_size,2,The pool size limit for connections expiration policy,performance,keystone
conn_pool_ttl,1200,The time-to-live in sec of idle connections in the pool,reliability,keystone
executor_thread_pool_size,64,Size of executor thread pool when executor is threading or eventlet.,performance,keystone
rpc_response_timeout,60,Seconds to wait for a response from a call.,reliability,keystone
transport_url,rabbit://,"The network address and optional user credentials for connecting to  the messaging backend, in URL format. The expected format is:",environment,keystone
control_exchange,keystone,The default exchange under which topics are scoped. May be overridden by an exchange name specified in the transport_url option.,others,keystone
debug,FALSE,"If set to true, the logging level will be set to DEBUG instead of the default INFO level.",debuggability,keystone
log_config_append,<None>,"The name of a logging configuration file. This file is appended to  any existing logging configuration files. For details about logging  configuration files, see the Python logging module documentation. Note  that when logging configuration files are used then all logging  configuration is set in the configuration file and other logging  configuration options are ignored (for example, log-date-format).",environment,keystone
log_date_format,%Y-%m-%d %H:%M:%S,Defines the format string for %(asctime)s in log records. Default:  the value above . This option is ignored if log_config_append is set.,debuggability,keystone
log_file,<None>,"(Optional) Name of log file to send logging output to. If no default  is set, logging will go to stderr as defined by use_stderr. This option  is ignored if log_config_append is set.",debuggability,keystone
log_dir,<None>,(Optional) The base directory used for relative log_file  paths. This option is ignored if log_config_append is set.,environment,keystone
watch_log_file,FALSE,Uses logging handler designed to watch file system. When log file is  moved or removed this handler will open a new log file with specified  path instantaneously. It makes sense only if log_file option is  specified and Linux platform is used. This option is ignored if  log_config_append is set.,debuggability,keystone
use_syslog,FALSE,Use syslog for logging. Existing syslog format is DEPRECATED and will be changed later to honor RFC5424. This option is ignored if  log_config_append is set.,debuggability,keystone
use_journal,FALSE,Enable journald for logging. If running in a systemd environment you  may wish to enable journal support. Doing so will use the journal native protocol which includes structured metadata in addition to log  messages.This option is ignored if log_config_append is set.,debuggability,keystone
syslog_log_facility,LOG_USER,Syslog facility to receive log lines. This option is ignored if log_config_append is set.,debuggability,keystone
use_json,FALSE,Use JSON formatting for logging. This option is ignored if log_config_append is set.,manageability,keystone
use_stderr,FALSE,Log output to standard error. This option is ignored if log_config_append is set.,debuggability,keystone
use_eventlog,FALSE,Log output to Windows Event Log.,debuggability,keystone
log_rotate_interval,1,The amount of time before the log files are rotated. This option is ignored unless log_rotation_type is setto 'interval'.,reliability,keystone
log_rotate_interval_type,days,Rotation interval type. The time of the last file change (or the time when the service was started) is used when scheduling the next  rotation.,reliability,keystone
max_logfile_count,30,Maximum number of rotated log files.,performance,keystone
max_logfile_size_mb,200,Log file maximum size in MB. This option is ignored if 'log_rotation_type' is not set to 'size'.,performance,keystone
log_rotation_type,none,Log rotation type.,reliability,keystone
logging_context_format_string,%(asctime)s.%(msecs)03d %(process)d %(levelname)s %(name)s [%(request_id)s %(user_identity)s] %(instance)s%(message)s,Format string to use for log messages with context. Used by oslo_log.formatters.ContextFormatter,debuggability,keystone
logging_default_format_string,%(asctime)s.%(msecs)03d %(process)d %(levelname)s %(name)s [-] %(instance)s%(message)s,Format string to use for log messages when context is undefined. Used by oslo_log.formatters.ContextFormatter,debuggability,keystone
logging_debug_format_suffix,%(funcName)s %(pathname)s:%(lineno)d,Additional data to append to log message when logging level for the  message is DEBUG. Used by oslo_log.formatters.ContextFormatter,debuggability,keystone
logging_exception_prefix,%(asctime)s.%(msecs)03d %(process)d ERROR %(name)s %(instance)s,Prefix each line of exception output with this format. Used by oslo_log.formatters.ContextFormatter,debuggability,keystone
logging_user_identity_format,%(user)s %(tenant)s %(domain)s %(user_domain)s %(project_domain)s,Defines the format string for %(user_identity)s that is used in  logging_context_format_string. Used by  oslo_log.formatters.ContextFormatter,debuggability,keystone
default_log_levels,"amqp=WARN,amqplib=WARN,boto=WARN,qpid=WARN,sqlalchemy=WARN,suds=INFO,oslo.messaging=INFO,oslo_messaging=INFO,iso8601=WARN,requests.packages.urllib3.connectionpool=WARN,urllib3.connectionpool=WARN,websocket=WARN,requests.packages.urllib3.util.retry=WARN,urllib3.util.retry=WARN,keystonemiddleware=WARN,routes.middleware=WARN,stevedore=WARN,taskflow=WARN,keystoneauth=WARN,oslo.cache=INFO,oslo_policy=INFO,dogpile.core.dogpile=INFO",List of package logging levels in logger=LEVEL pairs. This option is ignored if log_config_append is set.,debuggability,keystone
publish_errors,FALSE,Enables or disables publication of error events.,debuggability,keystone
instance_format,"""[instance: %(uuid)s] """,The format for an instance that is passed with the log message.,debuggability,keystone
instance_uuid_format,"""[instance: %(uuid)s] """,The format for an instance UUID that is passed with the log message.,debuggability,keystone
rate_limit_interval,0,"Interval, number of seconds, of log rate limiting.",reliability,keystone
rate_limit_burst,0,Maximum number of logged messages per rate_limit_interval.,reliability,keystone
rate_limit_except_level,CRITICAL,"Log level name used by rate limiting: CRITICAL, ERROR, INFO, WARNING, DEBUG or empty string. Logs with level greater or equal to  rate_limit_except_level are not filtered. An empty string means that all levels are filtered.",debuggability,keystone
fatal_deprecations,FALSE,Enables or disables fatal status of deprecations.,debuggability,keystone
admin_token,<None>,"Using this feature is NOT recommended. Instead, use the keystone-manage bootstrap command. The value of this option is treated as a 'shared secret' that  can be used to bootstrap Keystone through the API. This 'token' does not represent a user (it has no identity), and carries no explicit  authorization (it effectively bypasses most authorization checks). If  set to None, the value is ignored and the admin_token middleware is effectively disabled.",security,keystone
public_endpoint,<None>,"The base public endpoint URL for Keystone that is advertised to  clients (NOTE: this does NOT affect how Keystone listens for  connections). Defaults to the base host URL of the request. For example, if keystone receives a request to http://server:5000/v3/users, then this will option will be automatically treated as http://server:5000. You should only need to set option if either the value of the base URL  contains a path that keystone does not automatically infer (/prefix/v3), or if the endpoint should be found on a different host.",environment,keystone
admin_endpoint,<None>,"The base admin endpoint URL for Keystone that is advertised to  clients (NOTE: this does NOT affect how Keystone listens for  connections). Defaults to the base host URL of the request. For example, if keystone receives a request to http://server:35357/v3/users, then this will option will be automatically treated as http://server:35357. You should only need to set option if either the value of the base URL  contains a path that keystone does not automatically infer (/prefix/v3), or if the endpoint should be found on a different host.",environment,keystone
max_project_tree_depth,5,"Maximum depth of the project hierarchy, excluding the project acting  as a domain at the top of the hierarchy. WARNING: Setting it to a large  value may adversely impact performance.",reliability,keystone
max_param_size,64,Limit the sizes of user & project ID/names.,manageability,keystone
max_token_size,255,"Similar to [DEFAULT] max_param_size, but provides an  exception for token values. With Fernet tokens, this can be set as low  as 255. With UUID tokens, this should be set to 32).",performance,keystone
list_limit,<None>,"The maximum number of entities that will be returned in a collection. This global limit may be then overridden for a specific driver, by  specifying a list_limit in the appropriate section (for example, [assignment]). No limit is set by default. In larger deployments, it is recommended  that you set this to a reasonable number to prevent operations like  listing all users and projects from placing an unnecessary load on the  system.",performance,keystone
strict_password_check,FALSE,"If set to true, strict password length checking is performed for  password manipulation. If a password exceeds the maximum length, the  operation will fail with an HTTP 403 Forbidden error. If set to false,  passwords are automatically truncated to the maximum length.",security,keystone
insecure_debug,FALSE,"If set to true, then the server will return information in HTTP  responses that may allow an unauthenticated or authenticated user to get more information than normal, such as additional details about why  authentication failed. This may be useful for debugging but is insecure.",security,keystone
default_publisher_id,<None>,"Default publisher_id for outgoing notifications. If left undefined, Keystone will default to using the server's host name.",environment,keystone
notification_format,cadf,"Define the notification format for identity service events. A basic notification only has information about the resource being operated on. A cadf notification has the same information, as well as information about the initiator of the event. The cadf option is entirely backwards compatible with the basic option, but is fully CADF-compliant, and is recommended for auditing use cases.",debuggability,keystone
notification_opt_out,identity.authenticate.success,"You can reduce the number of notifications keystone emits by  explicitly opting out. Keystone will not emit notifications that match  the patterns expressed in this list. Values are expected to be in the  form of identity.<resource_type>.<operation>.  By default, all notifications related to authentication are  automatically suppressed. This field can be set multiple times in order  to opt-out of multiple notification topics. For example, the following  suppresses notifications describing user creation or successful  authentication events: notification_opt_out=identity.user.create  notification_opt_out=identity.authenticate.success",manageability,keystone
driver,json,"Entry point for the access rules config backend driver in the keystone.access_rules_config namespace.  Keystone only provides a json driver, so there is no reason to change this unless you are providing a custom entry point.",environment,keystone
caching,TRUE,Toggle for access rules caching. This has no effect unless global caching is enabled.,performance,keystone
cache_time,<None>,Time to cache access rule data in seconds. This has no effect unless global caching is enabled.,performance,keystone
rules_file,/etc/keystone/access_rules.json,"Path to access rules configuration. If not present, no access rule  configuration will be loaded and application credential access rules  will be unavailable.",environment,keystone
permissive,FALSE,"Toggles permissive mode for access rules. When enabled, application  credentials can be created with any access rules regardless of  operator's configuration.",security,keystone
driver,sql,"Entry point for the application credential backend driver in the keystone.application_credential namespace.  Keystone only provides a sql driver, so there is no reason to change this unless you are providing a custom entry point.",environment,keystone
caching,TRUE,Toggle for application credential caching. This has no effect unless global caching is enabled.,performance,keystone
cache_time,<None>,Time to cache application credential data in seconds. This has no effect unless global caching is enabled.,performance,keystone
user_limit,-1,"Maximum number of application credentials a user is permitted to  create. A value of -1 means unlimited. If a limit is not set, users are  permitted to create application credentials at will, which could lead to bloat in the keystone database or open keystone to a DoS attack.",manageability,keystone
driver,sql,"Entry point for the assignment backend driver (where role assignments are stored) in the keystone.assignment namespace. Only a SQL driver is supplied by keystone itself. Unless you are writing proprietary drivers for keystone, you do not need to set  this option.",environment,keystone
