software,name,description,label
kudu,block_cache_capacity_mb,block cache capacity in MB,performance
kudu,fs_data_dirs,"Comma-separated list of directories with data blocks. If this is not specified, fs_wal_dir will be used as the sole data block directory",manageability
kudu,fs_metadata_dir,Directory with metadata.,environment
kudu,master_addresses,"Comma-separated list of the RPC addresses belonging to all Masters in this cluster. NOTE: if not specified, configures a non-replicated Master.",environment
kudu,rpc_bind_addresses,Comma-separated list of addresses to bind to for RPC connections.,environment
kudu,keytab_file,Path to the Kerberos Keytab file for this server.,environment
kudu,superuser_acl,"The list of usernames to allow as super users, comma-separated. ",security
kudu,user_acl,"The list of usernames who may access the cluster, comma-separated.",security
kudu,webserver_certificate_file,"The location of the debug webserver's SSL certificate file, in PEM format.",environment
kudu,webserver_port,Port to bind to for the web server,environment
kudu,webserver_private_key_file,"The full path to the private key used as a counterpart to the public key contained in --webserver_certificate_file. If --webserver_certificate_file is set, this option must be set as well.",environment
kudu,webserver_private_key_password_cmd,"A Unix command whose output returns the password used to decrypt the Webserver's certificate private key file specified in --webserver_private_key_file. If the PEM key file is not password-protected, this flag does not need to be set.",security
kudu,log_filename,Prefix of log filename ,manageability
kudu,maintenance_manager_num_threads,Size of the maintenance manager thread pool. ,performance
kudu,memory_limit_hard_bytes,"Maximum amount of memory this daemon should use, in bytes.",performance
kudu,version,show version and build info and exit,manageability
kudu,log_dir,"If specified, logfiles are written into this directory instead of the default logging directory",environment
kudu,enable_process_lifetime_heap_profiling,Enables heap profiling for the lifetime of the process. ,debuggability
kudu,heap_profile_path,Output path to store heap profiles. ,environment
kudu,unlock_unsafe_flags,Unlock flags marked as 'unsafe'.  Use at your own risk.,security
kudu,helpxml,produce an xml version of help,manageability
kudu,minloglevel,Messages logged at a lower level than this don't actually get logged anywhere,debuggability
kudu,stderrthreshold,log messages at or above this level are copied to stderr in addition to logfiles. ,debuggability
kudu,stop_logging_if_full_disk,Stop attempting to log to disk if the disk is full.,reliability
kudu,symbolize_stacktrace,Symbolize the stack trace in the tombstone,debuggability
kudu,cfile_verify_checksums,Verify the checksum for each block on read if one exists,reliability
kudu,cfile_default_block_size,The default block size to use in cfiles,performance
kudu,cfile_default_compression_codec,Default cfile block compression codec.,performance
kudu,cfile_write_checksums,Write CRC32 checksums for each block,reliability
kudu,max_clock_sync_error_usec,Maximum allowed clock synchronization error as reported by NTP before the server will abort.,reliability
kudu,consensus_rpc_timeout_ms,Timeout used for all consensus internal RPC communications.,reliability
kudu,consensus_max_batch_size_bytes,The maximum per-tablet RPC batch size when updating peers.,performance
kudu,follower_unavailable_considered_failed_sec,Seconds that a leader is unable to successfully heartbeat to a follower after which the follower is considered to be failed and evicted from the config,reliability
kudu,global_log_cache_size_limit_mb,The total memory used for caching log entries across all tablets is kept under this threshold.,performance
kudu,log_cache_size_limit_mb,The total per-tablet size of consensus entries which may be kept in memory. ,performance
kudu,log_async_preallocate_segments,Whether the WAL segments preallocation should happen asynchronously,reliability
kudu,log_preallocate_segments,Whether the WAL should preallocate the entire segment before writing to it,manageability
kudu,log_segment_size_mb,"The default size for log segments, in MB",manageability
kudu,evict_failed_followers,Whether to evict followers from the Raft config ,manageability
kudu,leader_failure_max_missed_heartbeat_periods,Maximum heartbeat periods that the leader can fail to heartbeat in before we consider the leader to be failed. The total failure timeout in milliseconds is raft_heartbeat_interval_ms times,reliability
kudu,safe_time_advancement_without_writes,"Whether to enable the advancement of ""safe"" time in the absense of write operations",security
kudu,block_manager_max_open_files,Maximum number of open file descriptors to be used for data blocks.,reliability
kudu,fs_data_dirs_full_disk_cache_seconds,"Number of seconds we cache the full-disk status in the block manager. During this time, writes to the corresponding root path will not be attempted",reliability
kudu,default_num_replicas,Default number of replicas for tables that do not have the num_replicas set.,reliability
kudu,master_ts_rpc_timeout_ms,Timeout used for the master to TS async rpc calls,reliability
