name,value,description,label,software
mapreduce.job.committer.setup.cleanup.needed,TRUE,"true, if job needs job-setup and job-cleanup. false, otherwise",manageability,mapreduce
mapreduce.task.io.sort.factor,10,The number of streams to merge at once while sorting files. This determines the number of open file handles.,performance,mapreduce
mapreduce.task.io.sort.mb,100,"The total amount of buffer memory to use while sorting files, in megabytes. By default, gives each merge stream 1MB, which should minimize seeks.",performance,mapreduce
mapreduce.map.sort.spill.percent,0.8,"The soft limit in the serialization buffer. Once reached, a thread will begin to spill the contents to disk in the background. Note that collection will not block if this threshold is exceeded while a spill is already in progress, so spills may be larger than this threshold when it is set to less than .5",reliability,mapreduce
mapreduce.jobtracker.address,local,"The host and port that the MapReduce job tracker runs at. If ""local"", then jobs are run in-process as a single map and reduce task.",environment,mapreduce
mapreduce.local.clientfactory.class.name,org.apache.hadoop.mapred.LocalClientFactory,This the client factory that is responsible for creating local job runner client,others,mapreduce
mapreduce.jobtracker.system.dir,${hadoop.tmp.dir}/mapred/system,The directory where MapReduce stores control files.,environment,mapreduce
mapreduce.jobtracker.staging.root.dir,${hadoop.tmp.dir}/mapred/staging,"The root of the staging area for users' job files In practice, this should be the directory where users' home directories are located (usually /user)",environment,mapreduce
mapreduce.cluster.temp.dir,${hadoop.tmp.dir}/mapred/temp,A shared directory for temporary files.,environment,mapreduce
mapreduce.job.maps,2,"The default number of map tasks per job. Ignored when mapreduce.framework.name is ""local"".",performance,mapreduce
mapreduce.job.reduces,1,"The default number of reduce tasks per job. Typically set to 99% of the cluster's reduce capacity, so that if a node fails the reduces can still be executed in a single wave. Ignored when mapreduce.framework.name is ""local"".",reliability,mapreduce
mapreduce.job.running.map.limit,0,The maximum number of simultaneous map tasks per job. There is no limit if this value is 0 or negative.,reliability,mapreduce
mapreduce.job.running.reduce.limit,0,The maximum number of simultaneous reduce tasks per job. There is no limit if this value is 0 or negative.,reliability,mapreduce
mapreduce.job.max.map,-1,Limit on the number of map tasks allowed per job. There is no limit if this value is negative.,reliability,mapreduce
mapreduce.job.reducer.preempt.delay.sec,0,"The threshold (in seconds) after which an unsatisfied mapper request triggers reducer preemption when there is no anticipated headroom. If set to 0 or a negative value, the reducer is preempted as soon as lack of headroom is detected. Default is 0.",reliability,mapreduce
mapreduce.job.reducer.unconditional-preempt.delay.sec,300,"The threshold (in seconds) after which an unsatisfied mapper request triggers a forced reducer preemption irrespective of the anticipated headroom. By default, it is set to 5 mins. Setting it to 0 leads to immediate reducer preemption. Setting to -1 disables this preemption altogether.",reliability,mapreduce
mapreduce.job.max.split.locations,10,The max number of block locations to store for each split for locality calculation.,reliability,mapreduce
mapreduce.job.split.metainfo.maxsize,10000000,The maximum permissible size of the split metainfo file. The MapReduce ApplicationMaster won't attempt to read submitted split metainfo files bigger than this configured value. No limits if set to -1.,performance,mapreduce
