name,default,description,label
api_paste_config,api-paste.ini,File name for the paste.deploy config for api service,environment
wsgi_log_format,"%(client_ip)s ""%(request_line)s"" status: %(status_code)s len: %(body_length)s time: %(wall_seconds).7f","A python format string that is used as the template to generate log  lines. The following values can beformatted into it: client_ip,  date_time, request_line, status_code, body_length, wall_seconds.",debuggability
tcp_keepidle,600,Sets the value of TCP_KEEPIDLE in seconds for each server socket. Not supported on OS X.,reliability
wsgi_default_pool_size,100,Size of the pool of greenthreads used by wsgi,performance
max_header_line,16384,Maximum line size of message headers to be accepted. max_header_line  may need to be increased when using large tokens (typically those  generated when keystone is configured to use PKI tokens with big service catalogs).,performance
wsgi_keep_alive,TRUE,"If False, closes the client socket connection explicitly.",reliability
client_socket_timeout,900,Timeout for client connections' socket operations. If an incoming  connection is idle for this number of seconds it will be closed. A value of '0' means wait forever.,reliability
rpc_conn_pool_size,30,Size of RPC connection pool.,performance
conn_pool_min_size,2,The pool size limit for connections expiration policy,reliability
conn_pool_ttl,1200,The time-to-live in sec of idle connections in the pool,reliability
executor_thread_pool_size,64,Size of executor thread pool when executor is threading or eventlet.,performance
rpc_response_timeout,60,Seconds to wait for a response from a call.,reliability
transport_url,rabbit://,"The network address and optional user credentials for connecting to  the messaging backend, in URL format. The expected format is:",environment
control_exchange,neutron,The default exchange under which topics are scoped. May be overridden by an exchange name specified in the transport_url option.,manageability
debug,FALSE,"If set to true, the logging level will be set to DEBUG instead of the default INFO level.",debuggability
log_config_append,<None>,"The name of a logging configuration file. This file is appended to  any existing logging configuration files. For details about logging  configuration files, see the Python logging module documentation. Note  that when logging configuration files are used then all logging  configuration is set in the configuration file and other logging  configuration options are ignored (for example, log-date-format).",environment
log_date_format,%Y-%m-%d %H:%M:%S,Defines the format string for %(asctime)s in log records. Default:  the value above . This option is ignored if log_config_append is set.,debuggability
log_file,<None>,"(Optional) Name of log file to send logging output to. If no default  is set, logging will go to stderr as defined by use_stderr. This option  is ignored if log_config_append is set.",debuggability
log_dir,<None>,(Optional) The base directory used for relative log_file  paths. This option is ignored if log_config_append is set.,environment
watch_log_file,FALSE,Uses logging handler designed to watch file system. When log file is  moved or removed this handler will open a new log file with specified  path instantaneously. It makes sense only if log_file option is  specified and Linux platform is used. This option is ignored if  log_config_append is set.,debuggability
use_syslog,FALSE,Use syslog for logging. Existing syslog format is DEPRECATED and will be changed later to honor RFC5424. This option is ignored if  log_config_append is set.,debuggability
use_journal,FALSE,Enable journald for logging. If running in a systemd environment you  may wish to enable journal support. Doing so will use the journal native protocol which includes structured metadata in addition to log  messages.This option is ignored if log_config_append is set.,debuggability
syslog_log_facility,LOG_USER,Syslog facility to receive log lines. This option is ignored if log_config_append is set.,debuggability
use_json,FALSE,Use JSON formatting for logging. This option is ignored if log_config_append is set.,debuggability
use_stderr,FALSE,Log output to standard error. This option is ignored if log_config_append is set.,debuggability
use_eventlog,FALSE,Log output to Windows Event Log.,debuggability
log_rotate_interval,1,The amount of time before the log files are rotated. This option is ignored unless log_rotation_type is setto 'interval'.,reliability
log_rotate_interval_type,days,Rotation interval type. The time of the last file change (or the time when the service was started) is used when scheduling the next  rotation.,reliability
max_logfile_count,30,Maximum number of rotated log files.,reliability
max_logfile_size_mb,200,Log file maximum size in MB. This option is ignored if 'log_rotation_type' is not set to 'size'.,reliability
log_rotation_type,none,Log rotation type.,debuggability
logging_context_format_string,%(asctime)s.%(msecs)03d %(process)d %(levelname)s %(name)s [%(request_id)s %(user_identity)s] %(instance)s%(message)s,Format string to use for log messages with context. Used by oslo_log.formatters.ContextFormatter,debuggability
logging_default_format_string,%(asctime)s.%(msecs)03d %(process)d %(levelname)s %(name)s [-] %(instance)s%(message)s,Format string to use for log messages when context is undefined. Used by oslo_log.formatters.ContextFormatter,debuggability
logging_debug_format_suffix,%(funcName)s %(pathname)s:%(lineno)d,Additional data to append to log message when logging level for the  message is DEBUG. Used by oslo_log.formatters.ContextFormatter,debuggability
logging_exception_prefix,%(asctime)s.%(msecs)03d %(process)d ERROR %(name)s %(instance)s,Prefix each line of exception output with this format. Used by oslo_log.formatters.ContextFormatter,debuggability
logging_user_identity_format,%(user)s %(tenant)s %(domain)s %(user_domain)s %(project_domain)s,Defines the format string for %(user_identity)s that is used in  logging_context_format_string. Used by  oslo_log.formatters.ContextFormatter,debuggability
default_log_levels,"amqp=WARN,amqplib=WARN,boto=WARN,qpid=WARN,sqlalchemy=WARN,suds=INFO,oslo.messaging=INFO,oslo_messaging=INFO,iso8601=WARN,requests.packages.urllib3.connectionpool=WARN,urllib3.connectionpool=WARN,websocket=WARN,requests.packages.urllib3.util.retry=WARN,urllib3.util.retry=WARN,keystonemiddleware=WARN,routes.middleware=WARN,stevedore=WARN,taskflow=WARN,keystoneauth=WARN,oslo.cache=INFO,oslo_policy=INFO,dogpile.core.dogpile=INFO",List of package logging levels in logger=LEVEL pairs. This option is ignored if log_config_append is set.,debuggability
publish_errors,FALSE,Enables or disables publication of error events.,debuggability
instance_format,"""[instance: %(uuid)s] """,The format for an instance that is passed with the log message.,debuggability
instance_uuid_format,"""[instance: %(uuid)s] """,The format for an instance UUID that is passed with the log message.,debuggability
rate_limit_interval,0,"Interval, number of seconds, of log rate limiting.",reliability
rate_limit_burst,0,Maximum number of logged messages per rate_limit_interval.,reliability
rate_limit_except_level,CRITICAL,"Log level name used by rate limiting: CRITICAL, ERROR, INFO, WARNING, DEBUG or empty string. Logs with level greater or equal to  rate_limit_except_level are not filtered. An empty string means that all levels are filtered.",debuggability
fatal_deprecations,FALSE,Enables or disables fatal status of deprecations.,reliability
state_path,/var/lib/neutron,Where to store Neutron state files. This directory must be writable by the agent.,environment
bind_host,0.0.0.0,The host IP to bind to.,environment
bind_port,9696,The port to bind to,environment
api_extensions_path,'',"The path for API extensions. Note that this can be a colon-separated  list of paths. For example: api_extensions_path =  extensions:/path/to/more/exts:/even/more/exts. The __path__ of  neutron.extensions is appended to this, so if your extensions are in  there you don't need to specify them here.",environment
auth_strategy,keystone,The type of authentication to use,security
core_plugin,<None>,The core plugin Neutron will use,environment
service_plugins,'',The service plugins Neutron will use,manageability
base_mac,fa:16:3e:00:00:00,"The base MAC address Neutron will use for VIFs. The first 3 octets  will remain unchanged. If the 4th octet is not 00, it will also be used. The others will be randomly generated.",environment
allow_bulk,TRUE,Allow the usage of the bulk API,manageability
pagination_max_limit,-1,"The maximum number of items returned in a single response, value was 'infinite' or negative integer means no limit",reliability
default_availability_zones,'',"Default value of availability zone hints. The availability zone aware schedulers use this when the resources availability_zone_hints is  empty. Multiple availability zones can be specified by a comma separated string. This value can be empty. In this case, even if  availability_zone_hints for a resource is empty, availability zone is  considered for high availability while scheduling the resource.",performance
max_dns_nameservers,5,Maximum number of DNS nameservers per subnet,reliability
max_subnet_host_routes,20,Maximum number of host routes per subnet,reliability
ipv6_pd_enabled,FALSE,Enables IPv6 Prefix Delegation for automatic subnet CIDR allocation.  Set to True to enable IPv6 Prefix Delegation for subnet allocation in a  PD-capable environment. Users making subnet creation requests for IPv6  subnets without providing a CIDR or subnetpool ID will be given a CIDR  via the Prefix Delegation mechanism. Note that enabling PD will override the behavior of the default IPv6 subnetpool.,security
dhcp_lease_duration,86400,DHCP lease duration (in seconds). Use -1 to tell dnsmasq to use infinite lease times.,reliability
dns_domain,openstacklocal,Domain to use for building the hostnames,environment
external_dns_driver,<None>,Driver for external DNS integration.,environment
dhcp_agent_notification,TRUE,Allow sending resource operation notification to DHCP agent,security
allow_overlapping_ips,FALSE,Allow overlapping IP support in Neutron. Attention: the following  parameter MUST be set to False if Neutron is being used in conjunction  with Nova security groups.,security
host,example.domain,"This option has a sample default set, which means that its actual default value may vary from the one documented above.",environment
network_link_prefix,<None>,"This string is prepended to the normal URL that is returned in links  to the OpenStack Network API. If it is empty (the default), the URLs are returned unchanged.",environment
notify_nova_on_port_status_changes,TRUE,Send notification to nova when port status changes,reliability
notify_nova_on_port_data_changes,TRUE,Send notification to nova when port data (fixed_ips/floatingip) changes so nova can update its cache.,reliability
send_events_interval,2,Number of seconds between sending events to nova if there are any events to send.,reliability
setproctitle,on,"Set process name to match child worker role. Available options are:  'off' - retains the previous behavior; 'on' - renames processes to  'neutron-server: role (original string)'; 'brief' - renames the same as  'on', but without the original string, such as 'neutron-server: role'.",manageability
ipam_driver,internal,"Neutron IPAM (IP address management) driver to use. By default, the reference implementation of the Neutron IPAM driver is used.",environment
vlan_transparent,FALSE,"If True, then allow plugins that support it to create VLAN transparent networks.",manageability
filter_validation,TRUE,"If True, then allow plugins to decide whether to perform validations  on filter parameters. Filter validation is enabled if this config is  turned on and it is supported by all plugins",manageability
global_physnet_mtu,1500,"MTU of the underlying physical network. Neutron uses this value to  calculate MTU for all virtual network components. For flat and VLAN  networks, neutron uses this value without modification. For overlay  networks such as VXLAN, neutron automatically subtracts the overlay  protocol overhead from this value. Defaults to 1500, the standard value  for Ethernet.",others
backlog,4096,Number of backlog requests to configure the socket with,performance
retry_until_window,30,Number of seconds to keep retrying to listen,reliability
use_ssl,FALSE,Enable SSL on the API server,security
periodic_interval,40,Seconds between running periodic tasks.,reliability
api_workers,<None>,"Number of separate API worker processes for service. If not  specified, the default is equal to the number of CPUs available for best performance, capped by potential RAM usage.",performance
rpc_workers,<None>,"Number of RPC worker processes for service. If not specified, the default is equal to half the number of API workers.",performance
rpc_state_report_workers,1,Number of RPC worker processes dedicated to state reports queue.,performance
periodic_fuzzy_delay,5,Range of seconds to randomly delay when starting the periodic task scheduler to reduce stampeding. (Disable by setting to 0),performance
rpc_response_max_timeout,600,Maximum seconds to wait for a response from an RPC call.,reliability
interface_driver,<None>,The driver used to manage the virtual interface.,environment
metadata_proxy_socket,$state_path/metadata_proxy,Location for Metadata Proxy UNIX domain socket.,environment
metadata_proxy_user,'',User (uid or name) running metadata proxy after its initialization (if empty: agent effective user).,others
metadata_proxy_group,'',Group (gid or name) running metadata proxy after its initialization (if empty: agent effective group).,others
agent_down_time,75,"Seconds to regard the agent is down; should be at least twice report_interval, to be sure the agent is down for good.",reliability
dhcp_load_type,networks,"Representing the resource type whose load is being reported by the  agent. This can be 'networks', 'subnets' or 'ports'. When specified  (Default is networks), the server will extract particular load sent as  part of its agent configuration object from the agent report state,  which is the number of resources being consumed, at every  report_interval.dhcp_load_type can be used in combination with  network_scheduler_driver =  neutron.scheduler.dhcp_agent_scheduler.WeightScheduler When the  network_scheduler_driver is WeightScheduler, dhcp_load_type can be  configured to represent the choice for the resource being balanced.  Example: dhcp_load_type=networks",manageability
enable_new_agents,TRUE,"Agent starts with admin_state_up=False when enable_new_agents=False.  In the case, user's resources will not be scheduled automatically to the agent until admin changes admin_state_up to True.",reliability
max_routes,30,Maximum number of routes per router,reliability
enable_snat_by_default,TRUE,Define the default value of enable_snat if not provided in external_gateway_info.,reliability
network_scheduler_driver,neutron.scheduler.dhcp_agent_scheduler.WeightScheduler,Driver to use for scheduling network to DHCP agent,environment
network_auto_schedule,TRUE,Allow auto scheduling networks to DHCP agent.,manageability
allow_automatic_dhcp_failover,TRUE,Automatically remove networks from offline DHCP agents.,reliability
dhcp_agents_per_network,1,"Number of DHCP agents scheduled to host a tenant network. If this  number is greater than 1, the scheduler automatically assigns multiple  DHCP agents for a given tenant network, providing high availability for  DHCP service.",performance
