name,default,description,label
run_external_periodic_tasks,TRUE,Some periodic tasks can be run in a separate process. Should we run them here?,manageability
backdoor_port,<None>,"Enable eventlet backdoor.  Acceptable values are 0, <port>, and <start>:<end>, where 0 results in listening on a random tcp port number; <port> results in listening on the specified port  number (and not enabling backdoor if that port is in use); and  <start>:<end> results in listening on the smallest unused  port number within the specified range of port numbers.  The chosen port is displayed in the service's log file.",environment
backdoor_socket,<None>,"Enable eventlet backdoor, using the provided path as a unix socket  that can receive connections. This option is mutually exclusive with  'backdoor_port' in that only one should be provided. If both are  provided then the existence of this option overrides the usage of that  option.",security
log_options,TRUE,Enables or disables logging values of all registered options when starting a service (at DEBUG level).,debuggability
graceful_shutdown_timeout,60,Specify a timeout after which a gracefully shutdown server will exit. Zero value means endless wait.,reliability
rpc_conn_pool_size,30,Size of RPC connection pool.,performance
conn_pool_min_size,2,The pool size limit for connections expiration policy,reliability
conn_pool_ttl,1200,The time-to-live in sec of idle connections in the pool,reliability
executor_thread_pool_size,64,Size of executor thread pool when executor is threading or eventlet.,performance
rpc_response_timeout,60,Seconds to wait for a response from a call.,reliability
transport_url,rabbit://,"The network address and optional user credentials for connecting to  the messaging backend, in URL format. The expected format is:",environment
control_exchange,openstack,The default exchange under which topics are scoped. May be overridden by an exchange name specified in the transport_url option.,security
debug,FALSE,"If set to true, the logging level will be set to DEBUG instead of the default INFO level.",debuggability
log_config_append,<None>,"The name of a logging configuration file. This file is appended to  any existing logging configuration files. For details about logging  configuration files, see the Python logging module documentation. Note  that when logging configuration files are used then all logging  configuration is set in the configuration file and other logging  configuration options are ignored (for example, log-date-format).",environment
log_date_format,%Y-%m-%d %H:%M:%S,Defines the format string for %(asctime)s in log records. Default:  the value above . This option is ignored if log_config_append is set.,debuggability
log_file,<None>,"(Optional) Name of log file to send logging output to. If no default  is set, logging will go to stderr as defined by use_stderr. This option  is ignored if log_config_append is set.",debuggability
log_dir,<None>,(Optional) The base directory used for relative log_file  paths. This option is ignored if log_config_append is set.,environment
watch_log_file,FALSE,Uses logging handler designed to watch file system. When log file is  moved or removed this handler will open a new log file with specified  path instantaneously. It makes sense only if log_file option is  specified and Linux platform is used. This option is ignored if  log_config_append is set.,debuggability
use_syslog,FALSE,Use syslog for logging. Existing syslog format is DEPRECATED and will be changed later to honor RFC5424. This option is ignored if  log_config_append is set.,security
use_journal,FALSE,Enable journald for logging. If running in a systemd environment you  may wish to enable journal support. Doing so will use the journal native protocol which includes structured metadata in addition to log  messages.This option is ignored if log_config_append is set.,debuggability
syslog_log_facility,LOG_USER,Syslog facility to receive log lines. This option is ignored if log_config_append is set.,debuggability
use_json,FALSE,Use JSON formatting for logging. This option is ignored if log_config_append is set.,manageability
use_stderr,FALSE,Log output to standard error. This option is ignored if log_config_append is set.,debuggability
use_eventlog,FALSE,Log output to Windows Event Log.,debuggability
log_rotate_interval,1,The amount of time before the log files are rotated. This option is ignored unless log_rotation_type is setto 'interval'.,reliability
log_rotate_interval_type,days,Rotation interval type. The time of the last file change (or the time when the service was started) is used when scheduling the next  rotation.,reliability
max_logfile_count,30,Maximum number of rotated log files.,performance
max_logfile_size_mb,200,Log file maximum size in MB. This option is ignored if 'log_rotation_type' is not set to 'size'.,performance
log_rotation_type,none,Log rotation type.,debuggability
logging_context_format_string,%(asctime)s.%(msecs)03d %(process)d %(levelname)s %(name)s [%(request_id)s %(user_identity)s] %(instance)s%(message)s,Format string to use for log messages with context. Used by oslo_log.formatters.ContextFormatter,debuggability
logging_default_format_string,%(asctime)s.%(msecs)03d %(process)d %(levelname)s %(name)s [-] %(instance)s%(message)s,Format string to use for log messages when context is undefined. Used by oslo_log.formatters.ContextFormatter,debuggability
logging_debug_format_suffix,%(funcName)s %(pathname)s:%(lineno)d,Additional data to append to log message when logging level for the  message is DEBUG. Used by oslo_log.formatters.ContextFormatter,debuggability
logging_exception_prefix,%(asctime)s.%(msecs)03d %(process)d ERROR %(name)s %(instance)s,Prefix each line of exception output with this format. Used by oslo_log.formatters.ContextFormatter,debuggability
logging_user_identity_format,%(user)s %(tenant)s %(domain)s %(user_domain)s %(project_domain)s,Defines the format string for %(user_identity)s that is used in  logging_context_format_string. Used by  oslo_log.formatters.ContextFormatter,debuggability
default_log_levels,"amqp=WARN,amqplib=WARN,boto=WARN,qpid=WARN,sqlalchemy=WARN,suds=INFO,oslo.messaging=INFO,oslo_messaging=INFO,iso8601=WARN,requests.packages.urllib3.connectionpool=WARN,urllib3.connectionpool=WARN,websocket=WARN,requests.packages.urllib3.util.retry=WARN,urllib3.util.retry=WARN,keystonemiddleware=WARN,routes.middleware=WARN,stevedore=WARN,taskflow=WARN,keystoneauth=WARN,oslo.cache=INFO,oslo_policy=INFO,dogpile.core.dogpile=INFO",List of package logging levels in logger=LEVEL pairs. This option is ignored if log_config_append is set.,debuggability
publish_errors,FALSE,Enables or disables publication of error events.,reliability
instance_format,"""[instance: %(uuid)s] """,The format for an instance that is passed with the log message.,environment
instance_uuid_format,"""[instance: %(uuid)s] """,The format for an instance UUID that is passed with the log message.,environment
rate_limit_interval,0,"Interval, number of seconds, of log rate limiting.",reliability
rate_limit_burst,0,Maximum number of logged messages per rate_limit_interval.,reliability
rate_limit_except_level,CRITICAL,"Log level name used by rate limiting: CRITICAL, ERROR, INFO, WARNING, DEBUG or empty string. Logs with level greater or equal to  rate_limit_except_level are not filtered. An empty string means that all levels are filtered.",debuggability
fatal_deprecations,FALSE,Enables or disables fatal status of deprecations.,debuggability
internal_service_availability_zone,internal,Availability zone for internal services.,security
default_availability_zone,nova,Default availability zone for compute services.,manageability
default_schedule_zone,<None>,Default availability zone for instances.,environment
password_length,12,Length of generated instance admin passwords.,environment
instance_usage_audit_period,month,Time period to generate instance usages for. It is possible to define optional offset to given period by appending @ character followed by a number defining offset.,manageability
use_rootwrap_daemon,FALSE,Start and use a daemon that can run the commands that need to be run with root privileges. This option is usually enabled on nodes that run nova compute processes.,performance
