name,software,description,label
data_directory,postgresql,Specifies the directory to use for data storage.,environment
config_file,postgresql,Specifies the main server configuration file,environment
hba_file,postgresql,Specifies the configuration file for host-based authentication,security
ident_file,postgresql,Specifies the configuration file for user name mapping,environment
external_pid_file,postgresql,Specifies the name of an additional process-ID (PID) file that the server should create for use by server administration programs.,environment
listen_addresses ,postgresql,Specifies the TCP/IP address(es) on which the server is to listen for connections from client applications. ,environment
port,postgresql,The TCP port the server listens on,environment
max_connections,postgresql,Determines the maximum number of concurrent connections to the database server.,performance
superuser_reserved_connections,postgresql,Determines the number of connection slots that are reserved for connections,reliability
unix_socket_directories,postgresql,Specifies the directory of the Unix-domain socket(s) on which the server is to listen,environment
unix_socket_group,postgresql,Sets the owning group of the Unix-domain socket(s),security
unix_socket_permissions,postgresql,Sets the access permissions of the Unix-domain socket(s). ,security
bonjour,postgresql,Enables advertising the server's existence via Bonjour. ,manageability
bonjour_name,postgresql,Specifies the Bonjour service name.,others
tcp_keepalives_idle,postgresql,Specifies the number of seconds of inactivity after which TCP should send a keepalive message to the client.,reliability
tcp_keepalives_interval,postgresql,Specifies the number of seconds after which a TCP keepalive message should be retransmitted the client should be retransmitted.,reliability
tcp_keepalives_count,postgresql,Specifies the number of TCP keepalives that can be lost before the server's connection to the client is considered dead. ,reliability
authentication_timeout,postgresql,"Maximum time to complete client authentication, in seconds.",reliability
ssl,postgresql,Enables SSL connections. ,security
ssl_ca_file,postgresql,Specifies the name of the file containing the SSL server certificate authority,security
ssl_cert_file,postgresql,Specifies the name of the file containing the SSL server certificate. ,environment
ssl_crl_file,postgresql,Specifies the name of the file containing the SSL server certificate revocation list ,environment
ssl_key_file,postgresql,Specifies the name of the file containing the SSL server private key. ,environment
ssl_ciphers,postgresql,Specifies a list of SSL cipher suites that are allowed to be used on secure connections.,security
ssl_prefer_server_ciphers,postgresql,"Specifies whether to use the server's SSL cipher preferences, rather than the client's. The default is true",security
ssl_ecdh_curve,postgresql,Specifies the name of the curve to use in ECDH key exchange.,security
password_encryption,postgresql,this parameter determines whether the password is to be encrypted.,security
krb_server_keyfile,postgresql,Sets the location of the Kerberos server key file. ,environment
krb_caseins_users,postgresql,Sets whether GSSAPI user names should be treated case-insensitively. ,security
db_user_namespace,postgresql,This parameter enables per-database user names.,manageability
shared_buffers,postgresql,Sets the amount of memory the database server uses for shared memory buffers. ,performance
huge_pages,postgresql,Enables/disables the use of huge memory pages.,performance
temp_buffers,postgresql,Sets the maximum number of temporary buffers used by each database session.,performance
max_prepared_transactions,postgresql,Sets the maximum number of transactions that can be in the prepared state simultaneously,performance
work_mem,postgresql,Specifies the amount of memory to be used by internal sort operations and hash tables before writing,performance
maintenance_work_mem,postgresql,Specifies the maximum amount of memory to be used by maintenance operations,performance
autovacuum_work_mem,postgresql,Specifies the maximum amount of memory to be used by each autovacuum worker process.,performance
max_stack_depth,postgresql,Specifies the maximum safe depth of the server's execution stack. ,reliability
dynamic_shared_memory_type,postgresql,Specifies the dynamic shared memory implementation that the server should use. ,performance
temp_file_limit,postgresql,Specifies the maximum amount of disk space that a process can use for temporary files,performance
max_files_per_process,postgresql,Sets the maximum number of simultaneously open files allowed to each server subprocess.,performance
vacuum_cost_delay,postgresql,"The length of time, in milliseconds, that the process will sleep when the cost limit has been exceeded.",reliability
vacuum_cost_page_hit,postgresql,The estimated cost for vacuuming a buffer found in the shared buffer cache.,others
vacuum_cost_page_miss,postgresql,The estimated cost for vacuuming a buffer that has to be read from disk.,others
vacuum_cost_page_dirty,postgresql,The estimated cost charged when vacuum modifies a block that was previously clean.,others
vacuum_cost_limit,postgresql,The accumulated cost that will cause the vacuuming process to sleep. ,others
bgwriter_delay,postgresql,Specifies the delay between activity rounds for the background writer.,manageability
bgwriter_lru_maxpages,postgresql,"In each round, no more than this many buffers will be written by the background writer. Setting this to zero disables background writing.",performance
bgwriter_lru_multiplier,postgresql,The number of dirty buffers  needed by server processes during recent rounds.,performance
bgwriter_flush_after,postgresql,limit the amount of dirty data in the kernel's page cache,reliability
effective_io_concurrency,postgresql,Sets the number of concurrent disk I/O operations that PostgreSQL expects can be executed simultaneously.,performance
max_worker_processes,postgresql,Sets the maximum number of background processes that the system can support.,performance
max_parallel_workers_per_gather,postgresql,Sets the maximum number of workers that can be started by a single Gather node. ,performance
backend_flush_after,postgresql,"Whenever more than backend_flush_after bytes have been written by a single backend, attempt to force the OS to issue these writes to the underlying storage.",reliability
old_snapshot_threshold,postgresql,Sets the minimum time that a snapshot can be used without risk ,reliability
fsync,postgresql,"While turning off fsync is often a performance benefit, this can result in unrecoverable data corruption in the event of a power failure or system crash.",performance
synchronous_commit,postgresql,Specifies whether transaction commit will wait for WAL records to be written to disk before the command returns a success indication to the client.,reliability
wal_sync_method,postgresql,Method used for forcing WAL updates out to disk.,reliability
full_page_writes,postgresql,"When this parameter is on, the PostgreSQL server writes the entire content of each disk page to WAL during the first modification of that page after a checkpoint. ",reliability
wal_log_hints,postgresql,"When this parameter is on, the PostgreSQL server writes the entire content",debugability
