name,software,description,label
workers,squid,"Number of main Squid processes or ""workers"" to fork and maintain.",performance
cpu_affinity_map,squid,Sets 1:1 mapping between Squid processes and CPU cores.,performance
shared_memory_locking,squid,"Whether to ensure that all required shared memory is available by ""locking"" that shared memory into RAM when Squid starts. The alternative is faster startup time followed by slightly slower  performance and, if not enough RAM is actually available during runtime, mysterious crashes.",performance
hopeless_kid_revival_delay,squid,"Normally, when a kid process dies, Squid immediately restarts the kid. A kid experiencing frequent deaths is marked as ""hopeless"" for the duration specified by this directive. Hopeless kids are not automatically restarted.",reliability
auth_param,squid,This is used to define parameters for the various authentication schemes supported by Squid.,security
authenticate_cache_garbage_interval,squid,The time period between garbage collection across the username cache.This is a trade-off between memory utilization (long intervals - say 2 days) and CPU (short intervals - say 1 minute). ,reliability
authenticate_ttl,squid,"The time a user & their credentials stay in the logged in user cache since their last request. When the garbage interval passes, all user credentials that have passed their TTL are removed from memory.",security
authenticate_ip_ttl,squid,"If you use proxy authentication and the 'max_user_ip' ACL, this directive controls how long Squid remembers the IP addresses associated with each user.",reliability
external_acl_type,squid,This option defines external acl classes using a helper program to look up the status,security
acl,squid,Defining an Access List,security
proxy_protocol_access,squid,Determine which client proxies can be trusted to provide correct information regarding real client IP address using PROXY protocol.,security
follow_x_forwarded_for,squid,Determine which client proxies can be trusted to provide correct information regarding real client IP address.,security
acl_uses_indirect_client,squid,Controls whether the indirect client address (see follow_x_forwarded_for) is used instead of the direct client address in acl matching.,security
delay_pool_uses_indirect_client,squid,Controls whether the indirect client address (see follow_x_forwarded_for) is used instead of the direct client address in delay pools.,security
log_uses_indirect_client,squid,Controls whether the indirect client address (see follow_x_forwarded_for) is used instead of the direct client address in the access log.,security
tproxy_uses_indirect_client,squid,Controls whether the indirect client address (see follow_x_forwarded_for) is used instead of the direct client address when spoofing the outgoing client.,security
spoof_client_ip,squid,Control client IP address spoofing of TPROXY traffic based on defined access lists.,security
http_access,squid,Allowing or Denying access based on defined access lists,security
adapted_http_access,squid,Allowing or Denying access based on defined access lists,security
http_reply_access,squid,Allow replies to client requests. This is complementary to http_access.,security
icp_access,squid,Allowing or Denying access to the ICP port based on defined access lists,security
htcp_access,squid,Allowing or Denying access to the HTCP port based on defined access lists,security
htcp_clr_access,squid,Allowing or Denying access to purge content using HTCP based on defined access lists.,security
miss_access,squid,Determines whether network access is permitted when satisfying a request.,security
ident_lookup_access,squid,"A list of ACL elements which, if matched, cause an ident (RFC 931) lookup to be performed for this request. ",security
reply_body_max_size,squid,"This option specifies the maximum size of a reply body. It can be used to prevent users from downloading very large files, such as MP3's and movies.",reliability
on_unsupported_protocol,squid,Determines Squid behavior when encountering strange requests at the beginning of an accepted TCP connection or the beginning of a bumped CONNECT tunnel.,reliability
http_port,squid,The socket addresses where Squid will listen for HTTP client requests.,environment
https_port,squid,The socket address where Squid will listen for client requests made over TLS or SSL connections.,environment
ftp_port,squid,Enables Native FTP proxy by specifying the socket address where Squid listens for FTP client requests.,environment
tcp_outgoing_tos,squid,"Allows you to select a TOS/Diffserv value for packets outgoing on the server side, based on an ACL.",manageability
clientside_tos,squid,"Allows you to select a TOS/DSCP value for packets being transmitted on the client-side, based on an ACL.",manageability
tcp_outgoing_mark,squid,"Allows you to apply a Netfilter mark value to outgoing packets on the server side, based on an ACL.",manageability
clientside_mark,squid,"Allows you to apply a Netfilter mark value to packets being transmitted on the client-side, based on an ACL.",manageability
qos_flows,squid,"Allows you to select a TOS/DSCP value to mark outgoing connections to the client, based on where the reply was sourced.",manageability
tcp_outgoing_address,squid,Allows you to map requests to different outgoing IP addresses based on the username or source address of the user making the request.,manageability
host_verify_strict,squid,"Regardless of this option setting, when dealing with intercepted traffic, Squid always verifies that the destination IP address matches the Host header domain or IP (called 'authority form URL').",security
client_dst_passthru,squid,With NAT or TPROXY intercepted traffic Squid may pass the request directly to the original client destination IP or seek a faster source using the HTTP Host header.,performance
ssl_unclean_shutdown,squid,Some browsers (especially MSIE) bugs out on SSL shutdown messages.,reliability
ssl_engine,squid,The OpenSSL engine to use. You will need to set this if you would like to use hardware SSL acceleration for example.,manageability
sslproxy_session_ttl,squid,Sets the timeout value for SSL sessions,reliability
sslproxy_session_cache_size,squid,Sets the cache size to use for ssl session,performance
sslproxy_foreign_intermediate_certs,squid,"Many origin servers fail to send their full server certificate chain for verification, assuming the client already has or can easily locate any missing intermediate certificates.",security
sslproxy_cert_sign_hash,squid,Sets the hashing algorithm to use when signing generated certificates. Valid algorithm names depend on the OpenSSL library used.,security
ssl_bump,squid,"This option is consulted when a CONNECT request is received on an http_port (or a new connection is intercepted at an https_port), provided that port was configured with an ssl-bump flag.",environment
sslproxy_cert_error,squid,Use this ACL to bypass server certificate validation errors.,security
sslpassword_program,squid,Specify a program used for entering SSL key passphrases when using encrypted SSL certificate keys.,security
sslcrtd_program,squid,Specify the location and options of the executable for certificate generator.,environment
sslcrtd_children,squid,Specifies the maximum number of certificate generation processes that Squid may spawn (numberofchildren) and several related options.,performance
sslcrtvalidator_program,squid,Specify the location and options of the executable for ssl_crt_validator process.,environment
sslcrtvalidator_children,squid,Specifies the maximum number of certificate validation processes that Squid may spawn (numberofchildren) and several related options.,reliability
cache_peer,squid,To specify other caches in a hierarchy,performance
cache_peer_access,squid,Restricts usage of cache_peer proxies.,security
neighbor_type_domain,squid,Modify the cache_peer neighbor type when passing requests about specific domains to the peer.,manageability
dead_peer_timeout,squid,"This controls how long Squid waits to declare a peer cache as ""dead.""",reliability
forward_max_tries,squid,Limits the number of attempts to forward the request.,reliability
cache_mem,squid,cache_mem' specifies the ideal amount of memory to be used,performance
maximum_object_size_in_memory,squid,Objects greater than this size will not be attempted to kept in the memory cache. This should be set high enough to keep objects accessed frequently in memory to improve performance whilst low enough to keep larger objects from hoarding cache_mem.,performance
memory_cache_shared,squid,Controls whether the memory cache is shared among SMP workers.,performance
memory_cache_mode,squid,Controls which objects to keep in the memory cache (cache_mem),performance
memory_replacement_policy,squid,The memory replacement policy parameter determines which objects are purged from memory when memory space is needed.,others
cache_replacement_policy,squid,The cache replacement policy parameter determines which objects are evicted (replaced) when disk space is needed.,others
minimum_object_size,squid,Objects smaller than this size will NOT be saved on disk.,performance
maximum_object_size,squid,Set the default value for max-size parameter on any cache_dir.,performance
store_dir_select_algorithm,squid,How Squid selects which cache_dir to use when the response object will fit into more than one.,manageability
max_open_disk_fds,squid,To avoid having disk as the I/O bottleneck Squid can optionally bypass the on-disk cache if more than this amount of disk file descriptors are open.,performance
cache_swap_low,squid,The low-water mark for AUFS/UFS/diskd cache object eviction by the cache_replacement_policy algorithm.,performance
cache_swap_high,squid,The high-water mark for AUFS/UFS/diskd cache object eviction by the cache_replacement_policy algorithm.,performance
logformat,squid,Defines an access log format.,debuggability
access_log,squid,Configures whether and how Squid logs HTTP and ICP transactions.,debuggability
icap_log,squid,"ICAP log files record ICAP transaction summaries, one line per transaction.",debuggability
logfile_daemon,squid,"Specify the path to the logfile-writing daemon. This daemon is used to write the access and store logs, if configured.",debuggability
stats_collection,squid,This options allows you to control which requests gets accounted in performance counters.,manageability
cache_store_log,squid,"Logs the activities of the storage manager.  Shows which objects are ejected from the cache, and which objects are saved and for how long.",debuggability
cache_swap_state,squid,"Location for the cache ""swap.state"" file.",environment
logfile_rotate,squid,Specifies the default number of logfile rotations to make when you type 'squid -k rotate'.,reliability
mime_table,squid,Path to Squid's icon configuration file.,environment
log_mime_hdrs,squid,The Cache can record both the request and the response MIME headers for each HTTP transaction.  The headers are encoded safely and will appear as two bracketed fields at the end of the access log (for either the native or httpd-emulated log formats).  To enable this logging set log_mime_hdrs to 'on'.,debuggability
pid_filename,squid,A filename to write the process-id to.,environment
client_netmask,squid,A netmask for client addresses in logfiles and cachemgr output. Change this to protect the privacy of your cache clients.,security
strip_query_terms,squid,"By default, Squid strips query terms from requested URLs before logging.  This protects your user's privacy and reduces log size.",security
buffered_logs,squid,Whether to write/send access_log records ASAP or accumulate them and then write/send them in larger chunks. Buffering may improve performance because it decreases the number of I/Os.,performance
