name,value,description,label,software
yarn.ipc.client.factory.class,,Factory to create client IPC classes.,others,yarn
yarn.ipc.server.factory.class,,Factory to create server IPC classes.,others,yarn
yarn.ipc.record.factory.class,,Factory to create serializeable records.,others,yarn
yarn.ipc.rpc.class,org.apache.hadoop.yarn.ipc.HadoopYarnProtoRPC,RPC class implementation,others,yarn
yarn.resourcemanager.hostname,0.0.0.0,The hostname of the RM.,environment,yarn
yarn.resourcemanager.address,${yarn.resourcemanager.hostname}:8032,The address of the applications manager interface in the RM.,environment,yarn
yarn.resourcemanager.bind-host,,"The actual address the server will bind to. If this optional address is set, the RPC and webapp servers will bind to this address and the port specified in yarn.resourcemanager.address and yarn.resourcemanager.webapp.address, respectively. This is most useful for making RM listen to all interfaces by setting to 0.0.0.0.",environment,yarn
yarn.resourcemanager.auto-update.containers,FALSE,"If set to true, then ALL container updates will be automatically sent to the NM in the next heartbeat",reliability,yarn
yarn.resourcemanager.client.thread-count,50,The number of threads used to handle applications manager requests.,performance,yarn
yarn.resourcemanager.amlauncher.thread-count,50,Number of threads used to launch/cleanup AM.,performance,yarn
yarn.resourcemanager.nodemanager-connect-retries,10,Retry times to connect with NM.,reliability,yarn
yarn.dispatcher.drain-events.timeout,300000,"Timeout in milliseconds when YARN dispatcher tries to drain the events. Typically, this happens when service is stopping. e.g. RM drains the ATS events dispatcher when stopping.",reliability,yarn
yarn.am.liveness-monitor.expiry-interval-ms,600000,The expiry interval for application master reporting.,reliability,yarn
yarn.resourcemanager.principal,,The Kerberos principal for the resource manager.,security,yarn
yarn.resourcemanager.scheduler.address,${yarn.resourcemanager.hostname}:8030,The address of the scheduler interface.,environment,yarn
yarn.resourcemanager.scheduler.client.thread-count,50,Number of threads to handle scheduler interface.,performance,yarn
yarn.resourcemanager.application-master-service.processors,,Comma separated class names of ApplicationMasterServiceProcessor implementations. The processors will be applied in the order they are specified.,others,yarn
yarn.http.policy,HTTP_ONLY,This configures the HTTP endpoint for YARN Daemons.The following values are supported: - HTTP_ONLY : Service is provided only on http - HTTPS_ONLY : Service is provided only on https,security,yarn
yarn.resourcemanager.webapp.address,${yarn.resourcemanager.hostname}:8088,"The http address of the RM web application. If only a host is provided as the value, the webapp will be served on a random port.",environment,yarn
yarn.resourcemanager.webapp.https.address,${yarn.resourcemanager.hostname}:8090,"The https address of the RM web application. If only a host is provided as the value, the webapp will be served on a random port.",environment,yarn
yarn.resourcemanager.webapp.spnego-keytab-file,,The Kerberos keytab file to be used for spnego filter for the RM web interface.,security,yarn
yarn.resourcemanager.webapp.spnego-principal,,The Kerberos principal to be used for spnego filter for the RM web interface.,security,yarn
yarn.resourcemanager.webapp.ui-actions.enabled,TRUE,Add button to kill application in the RM Application view.,manageability,yarn
yarn.webapp.ui2.enable,FALSE,To enable RM web ui2 application.,manageability,yarn
yarn.webapp.ui2.war-file-path,,Explicitly provide WAR file path for ui2 if needed.,environment,yarn
yarn.acl.enable,FALSE,Are acls enabled.,manageability,yarn
yarn.acl.reservation-enable,FALSE,Are reservation acls enabled.,security,yarn
yarn.admin.acl,*,ACL of who can be admin of the YARN cluster.,security,yarn
yarn.resourcemanager.admin.address,${yarn.resourcemanager.hostname}:8033,The address of the RM admin interface.,environment,yarn
